3861 274 -1550; 103 0 -26
3771 -203 -2019; -17 -139 57
3774 -269 -2026; -30 -134 52
3773 -258 -2043; -18 -122 50
3826 -238 -2076; -12 -112 42
3806 -283 -2146; -46 -95 29
3796 -359 -2108; -82 -78 14
3806 -318 -2156; -92 -56 -5
3793 -293 -2142; -96 -30 -30
3795 -271 -2171; -116 5 -62
3765 -281 -2140; -123 44 -101
3695 -270 -2114; -121 91 -144
3636 -221 -2055; -109 147 -195
3639 -157 -1999; -101 207 -251
3613 -170 -2003; -125 276 -319
3576 -119 -1960; -144 352 -394
3558 22 -1834; -134 436 -471
3474 70 -1747; -152 528 -561
3478 218 -1619; -183 627 -662
3509 325 -1502; -200 733 -770
3502 373 -1427; -231 848 -894
3560 565 -1323; -227 961 -1024
3664 717 -1243; -221 1081 -1168
3763 862 -1209; -235 1199 -1324
3919 1199 -1106; -244 1308 -1486
3907 1235 -1106; -334 1424 -1662
3922 1299 -969; -430 1535 -1832
4001 1313 -920; -502 1638 -2004
4006 1256 -945; -590 1757 -2171
4074 1299 -754; -621 1864 -2320
4083 1324 -654; -625 1978 -2464
4110 1483 -525; -618 2087 -2597
4174 1550 -444; -622 2189 -2722
4176 1590 -360; -636 2293 -2833
4123 1628 -267; -641 2391 -2931
4080 1645 -185; -645 2475 -3025
4100 1744 -167; -613 2553 -3099
4198 1871 -97; -552 2616 -3164
4148 1995 -42; -526 2671 -3222
4038 1980 82; -541 2712 -3267
3953 2079 185; -550 2739 -3298
3792 2084 318; -568 2762 -3313
3622 1971 349; -606 2772 -3313
3571 2151 343; -582 2761 -3294
3511 2366 380; -528 2747 -3267
3359 2416 442; -538 2712 -3224
3160 2392 457; -565 2661 -3161
2900 2481 534; -543 2597 -3082
2693 2472 530; -526 2521 -2990
2528 2555 593; -519 2424 -2881
2316 2759 666; -523 2315 -2746
2026 2683 711; -581 2202 -2600
1748 2637 741; -577 2080 -2445
1476 2829 906; -461 1939 -2264
1231 2883 1029; -389 1800 -2072
1057 2896 1017; -358 1648 -1873
951 3066 1117; -287 1491 -1657
873 3096 1185; -205 1333 -1440
743 3191 1203; -133 1167 -1219
746 3253 1273; -64 995 -988
677 3222 1276; 11 826 -762
620 3314 1262; 88 650 -528
704 3418 1351; 183 469 -304
842 3607 1389; 274 298 -88
1036 3802 1465; 340 125 120
1207 3867 1563; 360 -37 310
1317 3802 1569; 368 -183 488
1375 3668 1645; 411 -325 651
1510 3694 1740; 507 -449 802
1609 3763 1857; 580 -559 940
1693 3739 1918; 614 -650 1060
1670 3767 2036; 627 -726 1168
1782 3799 2082; 608 -800 1259
1835 3720 2029; 540 -857 1338
1990 3688 1917; 450 -918 1415
2157 3688 1773; 411 -985 1478
2320 4015 1795; 420 -1037 1531
2490 4002 1750; 368 -1089 1565
2642 3821 1657; 240 -1138 1593
2680 3648 1576; 204 -1189 1618
2730 3472 1513; 243 -1225 1634
2777 3560 1600; 322 -1256 1653
2667 3399 1596; 332 -1275 1674
2608 3059 1537; 270 -1285 1695
2646 2826 1359; 245 -1302 1715
2626 2744 1315; 290 -1303 1755
2532 2572 1244; 315 -1304 1805
2611 2413 1070; 312 -1312 1860
2664 2369 879; 327 -1322 1929
2739 2309 726; 382 -1335 2009
2937 2190 523; 433 -1357 2093
3135 2211 323; 500 -1390 2188
3229 2064 198; 578 -1421 2293
3399 2000 29; 637 -1466 2406
3572 1981 -53; 718 -1521 2519
3627 1878 -190; 765 -1561 2635
3742 1722 -175; 826 -1617 2755
3891 1708 -251; 926 -1673 2865
4061 1750 -302; 1016 -1719 2976
4154 1726 -407; 1061 -1770 3081
4270 1519 -549; 1068 -1814 3170
4388 1418 -491; 1105 -1862 3252
4524 1530 -464; 1138 -1908 3325
4649 1347 -455; 1115 -1946 3376
4655 1289 -373; 1090 -1976 3428
4700 1238 -379; 1092 -2005 3466
4630 933 -590; 1079 -2022 3492
4654 890 -566; 1155 -2034 3524
4625 721 -662; 1212 -2035 3536
4623 734 -771; 1218 -2029 3542
4590 587 -813; 1188 -2020 3548
4536 498 -856; 1118 -2000 3536
4424 144 -871; 1005 -1978 3506
4283 5 -781; 925 -1943 3477
4100 -118 -789; 854 -1909 3436
3980 -99 -845; 795 -1862 3383
3833 -157 -897; 724 -1806 3323
3724 -374 -1007; 610 -1752 3241
3662 -414 -1084; 528 -1687 3151
3571 -602 -1157; 428 -1621 3050
3418 -858 -1222; 304 -1550 2940
3187 -1020 -1456; 219 -1479 2827
3076 -1173 -1444; 166 -1404 2694
2986 -1262 -1404; 150 -1316 2561
2845 -1286 -1486; 128 -1236 2422
2767 -1505 -1500; 66 -1138 2263
2690 -1516 -1548; 15 -1056 2097
2609 -1646 -1617; -31 -964 1927
2546 -1703 -1626; -59 -877 1745
2474 -1873 -1638; -92 -790 1563
2446 -1852 -1729; -115 -705 1371
2371 -1982 -1797; -156 -625 1177
2336 -2075 -1941; -202 -549 983
2323 -2218 -1996; -237 -482 785
2304 -2320 -2111; -268 -412 591
2244 -2331 -2107; -267 -349 404
2201 -2413 -2178; -278 -287 216
2246 -2352 -2306; -288 -227 35
2230 -2549 -2407; -311 -169 -144
2208 -2664 -2437; -318 -106 -312
2217 -2650 -2417; -285 -51 -472
2257 -2631 -2487; -262 13 -628
2229 -2600 -2460; -248 78 -769
2277 -2632 -2515; -271 143 -912
2343 -2434 -2519; -303 210 -1049
2411 -2410 -2516; -372 276 -1183
2496 -2497 -2597; -486 347 -1314
2555 -2575 -2556; -514 419 -1435
2627 -2467 -2503; -462 497 -1553
2717 -2337 -2402; -402 579 -1675
2716 -2037 -2152; -362 668 -1790
2802 -1818 -1911; -387 762 -1916
2988 -1689 -1788; -487 856 -2052
3169 -1520 -1695; -561 955 -2186
3370 -1492 -1609; -601 1065 -2332
3426 -1171 -1444; -627 1168 -2476
3585 -1008 -1440; -650 1268 -2627
3731 -805 -1585; -730 1368 -2777
3843 -784 -1582; -778 1465 -2913
3835 -904 -1592; -848 1562 -3045
3892 -962 -1586; -874 1648 -3155
4053 -786 -1635; -812 1736 -3250
4105 -694 -1564; -737 1817 -3335
4190 -576 -1410; -685 1885 -3403
4311 -400 -1466; -639 1945 -3468
4359 -55 -1419; -583 1998 -3524
4456 290 -1303; -556 2040 -3577
4504 503 -1186; -613 2070 -3629
4584 534 -1152; -717 2106 -3670
4599 522 -1028; -773 2138 -3702
4571 711 -896; -724 2168 -3718
4536 971 -683; -651 2196 -3732
4433 1121 -500; -647 2220 -3740
4320 1246 -482; -671 2240 -3746
4328 1487 -406; -706 2250 -3740
4192 1584 -367; -783 2264 -3726
4092 1513 -319; -873 2270 -3711
4050 1733 -261; -889 2268 -3683
3949 1852 -228; -868 2266 -3652
3907 2052 -191; -864 2254 -3620
3684 2033 -74; -853 2240 -3573
3414 1948 -34; -827 2217 -3510
3302 1985 -23; -756 2178 -3451
3252 2110 -150; -630 2142 -3394
3198 2377 -5; -480 2082 -3314
3069 2689 46; -441 2012 -3223
2814 2602 118; -496 1944 -3142
2555 2438 175; -554 1868 -3041
2414 2596 292; -528 1785 -2913
2282 2804 419; -484 1712 -2782
2034 2822 506; -500 1641 -2636
1849 2653 637; -495 1562 -2480
1728 2667 662; -401 1486 -2314
1606 3024 853; -289 1407 -2131
1417 3133 918; -260 1332 -1948
1396 2996 889; -334 1257 -1771
1327 2935 872; -331 1171 -1580
1211 3082 926; -241 1094 -1385
1160 3248 1082; -126 1012 -1199
1152 3342 1097; -65 931 -1020
1146 3401 1175; -22 850 -843
1129 3399 1122; 34 771 -680
1191 3556 1227; 123 690 -529
1156 3678 1299; 206 616 -388
1181 3835 1381; 237 542 -267
1200 3922 1477; 239 473 -160
1197 3845 1455; 216 411 -67
1183 3774 1457; 228 347 16
1207 3842 1507; 298 291 92
1272 3996 1591; 355 238 151
1358 4114 1588; 324 185 202
1366 4010 1538; 252 139 242
1378 3953 1516; 216 92 275
1395 4006 1615; 247 46 300
1381 4027 1647; 253 10 321
1401 3944 1692; 214 -35 337
1385 3803 1688; 190 -67 346
1367 3744 1724; 208 -94 356
1373 3695 1714; 230 -124 363
1395 3741 1682; 251 -148 366
1389 3832 1738; 259 -169 366
1386 3862 1745; 233 -186 359
1380 3835 1776; 190 -200 346
1307 3763 1720; 161 -211 330
1339 3693 1739; 171 -217 312
1352 3683 1711; 192 -223 291
1381 3653 1674; 207 -223 270
1387 3664 1667; 213 -222 249
1405 3654 1602; 198 -223 224
1443 3704 1580; 180 -224 199
1433 3783 1604; 154 -222 173
1367 3717 1567; 98 -219 143
1414 3651 1564; 54 -216 115
1415 3625 1526; 44 -210 86
1470 3652 1479; 47 -201 58
1479 3710 1512; 63 -193 33
1467 3663 1478; 53 -181 5
1508 3628 1455; 33 -173 -23
1551 3631 1430; 31 -161 -46
1550 3650 1429; 26 -149 -68
1578 3599 1389; 12 -142 -89
1606 3597 1361; 3 -131 -108
1596 3596 1346; -1 -121 -125
1612 3542 1319; -4 -114 -140
1623 3565 1306; 2 -105 -153
1590 3561 1323; 11 -97 -163
1604 3600 1345; 11 -87 -171
1604 3572 1350; -8 -80 -180
1597 3570 1322; -37 -70 -181
1576 3470 1327; -51 -62 -184
1573 3426 1259; -48 -56 -185
1597 3453 1269; -17 -50 -180
1602 3462 1263; 15 -47 -175
1587 3478 1274; 27 -44 -167
1589 3471 1254; 39 -43 -160
1618 3494 1264; 65 -43 -155
1586 3521 1282; 78 -46 -149
1604 3502 1262; 64 -49 -139
1599 3514 1245; 57 -54 -133
1572 3512 1256; 61 -57 -124
1577 3541 1282; 71 -61 -115
1583 3548 1307; 77 -64 -111
1589 3553 1347; 75 -66 -102
1588 3549 1354; 62 -68 -96
1594 3538 1333; 69 -70 -92
1606 3604 1374; 87 -75 -89
1638 3654 1361; 92 -76 -90
1633 3665 1361; 75 -78 -91
1638 3698 1379; 59 -82 -91
1646 3677 1375; 47 -86 -96
1595 3696 1420; 41 -87 -97
1604 3639 1400; 29 -89 -100
1584 3597 1392; 22 -89 -102
1600 3557 1395; 35 -90 -98
1582 3542 1381; 45 -89 -95
1578 3579 1423; 57 -88 -90
1585 3581 1421; 58 -87 -86
1568 3610 1422; 56 -85 -83
1572 3634 1454; 57 -85 -80
1601 3597 1409; 42 -83 -78
1577 3567 1403; 36 -81 -75
1587 3530 1375; 44 -81 -75
1597 3529 1371; 60 -79 -74
1599 3558 1387; 84 -79 -71
1587 3553 1378; 87 -78 -71
1573 3590 1404; 81 -79 -70
1592 3615 1425; 70 -80 -71
1557 3575 1391; 48 -78 -73
1568 3545 1405; 40 -78 -72
1574 3521 1381; 51 -77 -73
1586 3535 1366; 68 -75 -74
1621 3593 1370; 81 -75 -75
1637 3633 1376; 83 -74 -78
1608 3626 1387; 63 -71 -80
1584 3615 1382; 41 -72 -84
1582 3556 1366; 24 -71 -88
1581 3512 1379; 23 -68 -89
1551 3466 1330; 24 -67 -88
1586 3501 1339; 27 -64 -84
1579 3544 1387; 28 -65 -80
1549 3509 1380; 6 -61 -75
1533 3484 1404; -12 -57 -68
1520 3532 1428; -13 -57 -60
1536 3525 1416; -19 -52 -51
1595 3586 1410; -31 -51 -42
1602 3622 1429; -26 -50 -35
1623 3648 1445; -32 -52 -26
1577 3676 1509; -33 -59 -18
1561 3658 1535; -42 -62 -11
1552 3588 1543; -47 -74 -2
1528 3519 1496; -40 -87 17
1531 3409 1445; -13 -107 37
1538 3356 1379; 21 -133 65
1521 3295 1360; 62 -166 103
1480 3285 1347; 105 -209 145
1470 3299 1315; 152 -260 196
1527 3283 1237; 184 -319 249
1545 3341 1160; 221 -387 316
1653 3359 1033; 261 -464 386
1752 3463 1015; 304 -549 461
1727 3573 1029; 345 -636 548
1757 3501 1043; 347 -727 636
1790 3511 1035; 344 -819 731
1836 3465 996; 368 -910 834
1938 3446 955; 407 -1000 940
2028 3479 891; 467 -1087 1057
2138 3460 868; 510 -1172 1173
2254 3458 868; 529 -1255 1289
2334 3331 777; 523 -1330 1409
2461 3241 744; 531 -1408 1526
2605 3158 642; 558 -1482 1644
2723 3102 559; 591 -1549 1765
2880 3034 525; 627 -1616 1880
2964 3036 475; 664 -1678 1993
3076 2944 390; 686 -1737 2100
3262 2841 310; 709 -1791 2200
3355 2784 244; 762 -1839 2300
3487 2790 190; 813 -1884 2391
3592 2665 91; 835 -1920 2471
3692 2590 38; 857 -1953 2550
3781 2490 -25; 899 -1982 2617
3844 2443 -91; 930 -1999 2679
3911 2345 -158; 937 -2012 2740
3945 2156 -324; 926 -2022 2790
3998 2088 -394; 954 -2023 2840
4046 1951 -567; 971 -2016 2883
4019 1945 -740; 977 -2006 2930
4084 1710 -975; 985 -1993 2970
4168 1267 -1121; 1026 -1970 3005
4174 1310 -1104; 1189 -1945 3058
4249 1241 -1222; 1286 -1909 3098
4255 1113 -1194; 1259 -1859 3133
4148 895 -1136; 1211 -1813 3170
4114 669 -1172; 1169 -1764 3191
4024 605 -1252; 1162 -1711 3218
4119 646 -1310; 1173 -1658 3237
4127 289 -1487; 1114 -1600 3231
4081 243 -1314; 1136 -1541 3238
4030 109 -1320; 1193 -1490 3237
4077 167 -1374; 1208 -1427 3224
3994 63 -1258; 1172 -1365 3203
3876 -239 -1326; 1059 -1303 3175
3909 -245 -1360; 1010 -1261 3151
3834 -463 -1591; 929 -1205 3113
3682 -780 -1620; 829 -1153 3066
3619 -732 -1602; 819 -1119 3027
3544 -817 -1681; 790 -1077 2977
3416 -1052 -1701; 707 -1031 2920
3362 -1207 -1794; 635 -996 2860
3287 -1412 -1919; 575 -958 2785
3185 -1345 -1880; 575 -921 2713
3083 -1469 -1889; 526 -885 2623
3031 -1459 -1950; 434 -853 2522
2970 -1536 -1987; 351 -825 2416
2821 -1780 -2020; 247 -795 2293
2674 -1889 -2063; 202 -772 2170
2543 -1964 -2048; 197 -748 2039
2370 -2078 -2002; 189 -720 1903
2271 -2055 -1986; 178 -692 1769
2208 -2085 -2009; 144 -663 1626
2047 -2213 -2040; 76 -622 1480
1980 -2230 -1965; 44 -589 1341
1931 -2369 -2059; 27 -552 1199
1861 -2445 -2091; 31 -507 1059
1819 -2538 -2101; 59 -467 929
1713 -2596 -2150; 101 -422 800
1714 -2447 -2093; 149 -379 683
1739 -2515 -2185; 130 -343 558
1786 -2451 -2166; 73 -300 446
1752 -2520 -2166; 13 -263 337
1824 -2567 -2109; -54 -228 226
1697 -2610 -2167; -102 -193 132
1717 -2732 -2376; -136 -155 42
1653 -2838 -2376; -133 -122 -35
1675 -2863 -2458; -102 -88 -105
1628 -2836 -2424; -73 -59 -159
1666 -2838 -2403; -58 -28 -204
1724 -2889 -2443; -72 2 -246
1786 -2738 -2367; -67 26 -278
1806 -2745 -2355; -80 51 -303
1818 -2806 -2405; -113 79 -324
1847 -2863 -2485; -118 95 -338
1901 -2873 -2536; -89 115 -348
1889 -2837 -2533; -46 130 -349
1974 -2807 -2523; -10 137 -348
2006 -2752 -2529; 5 142 -345
2035 -2746 -2499; 13 147 -338
2091 -2697 -2498; 22 146 -334
2077 -2708 -2515; 26 148 -324
2111 -2716 -2472; 40 144 -314
2143 -2681 -2485; 57 137 -307
2129 -2652 -2434; 70 130 -296
2126 -2638 -2411; 78 123 -286
2176 -2596 -2363; 85 113 -278
2199 -2573 -2338; 93 102 -268
2221 -2525 -2289; 103 90 -256
2237 -2547 -2277; 104 75 -249
2257 -2545 -2290; 104 62 -238
2240 -2539 -2273; 111 47 -231
2236 -2466 -2271; 117 32 -221
2232 -2437 -2250; 113 16 -212
2236 -2442 -2251; 90 -1 -204
2229 -2437 -2247; 77 -15 -194
2215 -2468 -2213; 74 -29 -187
2233 -2429 -2202; 84 -40 -178
2207 -2440 -2205; 77 -51 -170
2202 -2411 -2216; 76 -61 -161
2208 -2380 -2209; 72 -71 -154
2185 -2402 -2209; 50 -78 -145
2203 -2360 -2216; 38 -87 -137
2237 -2395 -2256; 19 -95 -136
2239 -2402 -2229; 13 -99 -123
2237 -2482 -2265; 9 -105 -116
2224 -2417 -2293; 14 -109 -110
2180 -2443 -2237; 22 -112 -97
2188 -2459 -2271; 18 -113 -91
2182 -2376 -2246; 33 -118 -82
2194 -2409 -2269; 19 -114 -74
2232 -2366 -2269; -2 -116 -69
2263 -2422 -2334; -29 -119 -65
2244 -2437 -2375; -40 -118 -63
2255 -2433 -2312; -29 -121 -58
2233 -2463 -2332; -25 -122 -57
2235 -2446 -2333; -13 -122 -53
2227 -2499 -2350; -3 -120 -51
2245 -2472 -2381; 16 -119 -50
2237 -2490 -2380; 27 -119 -49
2257 -2448 -2346; 40 -119 -49
2258 -2415 -2326; 36 -120 -52
2267 -2407 -2326; 14 -117 -58
2260 -2404 -2329; -6 -117 -63
2275 -2443 -2327; -16 -115 -71
2250 -2426 -2322; -19 -110 -77
2249 -2519 -2353; -21 -106 -83
2242 -2536 -2328; -9 -99 -89
2265 -2542 -2311; 15 -92 -92
2253 -2511 -2313; 27 -84 -96
2288 -2515 -2314; 26 -77 -98
2294 -2521 -2359; 13 -67 -103
2291 -2508 -2376; 2 -59 -107
2284 -2591 -2416; -14 -49 -115
2299 -2542 -2419; -3 -39 -117
2332 -2567 -2430; 3 -29 -123
2315 -2646 -2466; -7 -11 -128
2319 -2626 -2415; 20 4 -132
2314 -2665 -2453; 45 27 -143
2321 -2563 -2389; 76 54 -153
2332 -2529 -2390; 82 81 -170
2312 -2494 -2394; 65 121 -196
2306 -2451 -2376; 47 159 -224
2348 -2501 -2374; 17 199 -263
2309 -2548 -2418; -20 248 -304
2367 -2380 -2347; -17 291 -347
2351 -2465 -2371; -46 344 -400
2353 -2552 -2355; -62 403 -450
2408 -2403 -2245; 10 455 -496
2389 -2375 -2273; 41 521 -556
2403 -2203 -2109; 58 586 -611
2437 -2309 -2139; 41 654 -673
2530 -2205 -2123; 45 724 -731
2587 -2297 -2235; 46 792 -792
2655 -2359 -2308; 52 861 -856
2687 -2311 -2258; 103 920 -908
2762 -2337 -2248; 133 982 -974
2831 -2100 -2127; 168 1033 -1033
2933 -2125 -2083; 163 1085 -1095
2998 -2039 -1969; 148 1135 -1153
3046 -2082 -1914; 142 1180 -1204
3088 -2127 -1888; 141 1231 -1256
3138 -2000 -1804; 184 1274 -1283
3181 -2113 -1857; 206 1323 -1307
3185 -2068 -1812; 251 1367 -1309
3218 -2209 -1814; 302 1409 -1289
3296 -2211 -1889; 351 1452 -1258
3554 -2067 -1834; 413 1479 -1202
3688 -2383 -1975; 371 1511 -1150
3807 -2182 -1707; 450 1530 -1064
3962 -2044 -1516; 562 1539 -981
3971 -1950 -1366; 580 1550 -902
3950 -1857 -1106; 596 1541 -804
4007 -1755 -1086; 592 1528 -725
4062 -1555 -922; 578 1508 -647
3968 -1714 -842; 507 1477 -573
4000 -1421 -715; 483 1431 -506
3974 -1439 -667; 445 1375 -445
3919 -1455 -616; 378 1319 -385
3996 -1352 -587; 362 1241 -334
4027 -1395 -699; 338 1174 -297
3869 -1317 -478; 343 1103 -255
3784 -1433 -323; 341 1024 -227
3667 -1273 -141; 342 950 -205
3599 -1198 -52; 315 874 -182
3553 -1234 -129; 250 807 -178
3602 -1041 -64; 225 734 -172
3481 -1228 -91; 177 669 -181
3506 -1101 -30; 152 602 -186
3436 -1267 -81; 133 532 -199
3451 -1102 -74; 134 476 -215
3421 -1152 22; 126 408 -229
3449 -1172 -69; 69 361 -246
3433 -1303 -14; 25 306 -264
3461 -1244 -137; 3 266 -277
3422 -1313 -36; -6 232 -288
3399 -1402 -29; -25 200 -295
3403 -1331 16; -10 169 -297
3345 -1463 25; -2 157 -296
3355 -1372 71; 8 138 -296
3397 -1358 73; 17 125 -296
3347 -1386 172; -2 123 -299
3352 -1338 275; -18 112 -302
3415 -1309 231; -43 105 -317
3480 -1247 288; -77 95 -330
3582 -1297 271; -136 80 -349
3694 -1311 195; -195 60 -379
3739 -1323 233; -244 33 -408
3777 -1372 176; -297 2 -446
3857 -1386 112; -328 -39 -485
3838 -1538 111; -312 -79 -523
3770 -1593 292; -252 -125 -565
3671 -1574 484; -185 -176 -608
3582 -1575 656; -154 -227 -658
3558 -1625 652; -167 -286 -710
3561 -1508 517; -179 -352 -761
3607 -1284 336; -158 -423 -818
3518 -1192 447; -154 -503 -878
3411 -1203 602; -170 -593 -933
3400 -1294 504; -201 -686 -991
3472 -1215 437; -215 -784 -1041
3660 -1246 175; -233 -886 -1085
3809 -1230 -42; -251 -998 -1125
3861 -1266 -206; -228 -1112 -1160
3853 -1196 -298; -171 -1239 -1196
3868 -994 -419; -88 -1373 -1230
3910 -733 -652; -49 -1513 -1271
3929 -445 -806; -22 -1664 -1313
3890 -433 -846; -30 -1807 -1361
3771 -314 -897; -49 -1955 -1414
3747 -120 -1099; -96 -2101 -1467
3721 -59 -1279; -168 -2230 -1519
3779 -139 -1533; -254 -2359 -1569
3745 -170 -1722; -276 -2480 -1608
3654 -364 -1726; -220 -2581 -1641
3470 -310 -1766; -147 -2683 -1667
3307 -78 -1890; -20 -2773 -1684
3307 147 -1940; 104 -2859 -1701
3285 467 -2035; 196 -2941 -1715
3480 951 -2380; 209 -3024 -1746
3581 1248 -2285; 118 -3105 -1780
3382 1343 -2146; -104 -3167 -1811
2961 717 -1975; -467 -3218 -1864
2435 489 -2319; -705 -3244 -1903
2156 352 -2567; -703 -3253 -1931
2019 312 -3053; -575 -3254 -1944
2105 420 -3125; -311 -3266 -1942
2342 878 -3455; 30 -3287 -1938
2881 1502 -3258; 242 -3307 -1923
2471 1398 -2949; 225 -3293 -1886
1731 661 -2675; -40 -3262 -1854
1288 194 -2968; -188 -3234 -1840
1325 515 -3034; -37 -3150 -1757
1209 673 -2786; 108 -3053 -1662
936 597 -3137; 108 -2932 -1558
906 520 -3279; 95 -2806 -1437
1031 596 -3508; 186 -2681 -1334
1197 886 -3505; 322 -2530 -1210
1064 1113 -3529; 406 -2371 -1060
890 979 -3878; 374 -2212 -951
727 1279 -3999; 433 -2059 -823
672 1619 -3861; 517 -1898 -698
656 1630 -3960; 329 -1729 -593
637 1350 -4203; 27 -1563 -486
678 1183 -4493; -85 -1401 -392
708 1397 -4574; 12 -1257 -305
858 1694 -4569; 134 -1115 -222
877 1760 -4687; 125 -988 -158
789 1677 -4813; 78 -870 -106
850 1726 -4792; 92 -775 -75
860 1915 -4615; 102 -687 -47
909 1776 -4575; -34 -594 -31
828 1715 -4519; -152 -513 -24
874 1649 -4529; -170 -439 -18
974 1676 -4510; -120 -364 -20
953 1804 -4434; -59 -298 -25
965 1754 -4389; -48 -237 -38
931 1745 -4290; -64 -185 -57
923 1721 -4168; -78 -137 -78
919 1716 -4083; -115 -93 -102
876 1690 -4049; -168 -53 -123
847 1630 -4049; -218 -18 -143
791 1524 -4099; -249 13 -164
736 1552 -4080; -243 38 -178
713 1482 -4099; -245 58 -192
692 1363 -4086; -261 75 -200
620 1350 -4081; -233 84 -201
555 1286 -4072; -186 92 -204
597 1336 -4045; -124 92 -199
607 1294 -4052; -103 90 -194
586 1332 -4018; -110 87 -189
579 1304 -3991; -118 76 -181
586 1287 -3961; -137 72 -173
618 1330 -3889; -134 59 -166
623 1363 -3877; -130 49 -156
638 1332 -3881; -124 40 -150
635 1286 -3889; -90 27 -139
704 1255 -3895; -33 12 -129
735 1266 -3921; 12 -4 -122
697 1279 -3912; 26 -20 -107
667 1278 -3889; 25 -34 -100
650 1355 -3819; 22 -53 -88
640 1331 -3830; 7 -70 -77
629 1422 -3890; 0 -83 -70
670 1421 -3819; 28 -98 -63
687 1437 -3886; 32 -107 -55
634 1423 -3915; 61 -118 -51
638 1490 -3874; 111 -131 -43
647 1485 -3870; 125 -142 -44
635 1437 -3851; 113 -149 -44
629 1406 -3824; 108 -156 -41
615 1399 -3837; 106 -159 -40
591 1420 -3800; 113 -162 -39
633 1489 -3755; 123 -162 -34
628 1475 -3781; 117 -158 -36
578 1566 -3731; 108 -153 -34
587 1540 -3763; 81 -143 -36
575 1485 -3800; 48 -133 -39
607 1470 -3812; 35 -123 -39
661 1447 -3853; 40 -109 -43
650 1538 -3832; 67 -95 -42
606 1572 -3876; 77 -80 -44
589 1596 -3871; 62 -63 -49
656 1606 -3878; 25 -49 -52
692 1515 -3959; -42 -30 -59
716 1444 -4017; -83 -10 -59
794 1455 -4052; -53 7 -56
794 1550 -4056; -6 28 -51
788 1596 -4100; 18 48 -50
850 1608 -4114; 35 69 -47
877 1643 -4186; 39 88 -42
844 1616 -4198; 14 113 -35
855 1592 -4230; -16 133 -26
834 1610 -4192; -26 157 -15
880 1578 -4230; -29 187 -6
888 1594 -4249; 3 216 11
874 1619 -4251; 55 250 32
898 1580 -4259; 81 287 49
875 1660 -4197; 88 328 72
862 1585 -4222; 53 373 96
844 1513 -4226; -2 420 121
863 1530 -4199; 9 469 151
885 1587 -4173; 48 520 177
920 1726 -4114; 82 574 204
1029 1763 -4136; 82 627 224
1068 1762 -4121; 51 680 241
1069 1792 -4136; 28 733 258
1038 1758 -4128; 1 785 269
1023 1732 -4143; -30 833 285
1000 1652 -4211; -47 883 303
996 1518 -4266; -48 930 324
972 1346 -4312; -3 981 351
897 1337 -4251; 118 1032 387
777 1587 -4051; 254 1085 422
804 1716 -3821; 264 1144 458
869 1531 -3725; 114 1210 501
870 1226 -3708; -46 1282 552
870 1010 -3612; -94 1359 614
927 860 -3499; -26 1439 689
1067 752 -3385; 101 1526 768
1158 619 -3333; 245 1623 858
1150 648 -3198; 450 1723 943
856 1400 -2977; 675 1822 1011
780 2089 -2586; 704 1911 1053
1307 1939 -2583; 330 1996 1071
1850 1402 -2830; -93 2068 1088
1838 1229 -2946; -189 2124 1111
2023 1365 -2788; -36 2167 1131
2162 1302 -2704; 94 2206 1146
2303 1000 -2796; 130 2236 1154
2117 1027 -2810; 248 2263 1163
1879 1429 -2678; 431 2283 1164
1975 1609 -2523; 432 2290 1143
2141 1520 -2531; 214 2300 1142
2208 922 -2573; -120 2295 1128
2257 660 -2592; -258 2282 1137
2310 547 -2512; -203 2264 1156
2300 614 -2399; -128 2240 1170
2425 456 -2435; -82 2214 1184
2634 376 -2420; -40 2177 1194
2722 272 -2484; 12 2134 1196
2562 403 -2361; 100 2089 1195
2618 649 -2218; 188 2030 1182
2823 573 -2247; 34 1956 1142
3217 562 -2071; -51 1883 1113
3371 355 -1948; -116 1807 1077
3554 366 -1850; -70 1722 1026
3574 390 -1751; -7 1644 984
3560 216 -1643; 68 1563 929
3514 132 -1445; 131 1483 877
3560 107 -1259; 175 1408 826
3637 35 -1100; 155 1336 776
3693 -92 -988; 79 1272 733
3777 -277 -796; 8 1213 693
3820 -439 -811; -51 1153 659
3880 -759 -821; -57 1098 633
4119 -712 -711; 71 1043 611
4322 -669 -605; 184 996 586
4383 -735 -341; 239 942 559
4450 -692 -211; 246 890 527
4489 -658 -106; 232 838 484
4524 -599 -19; 189 786 440
4532 -694 52; 118 727 388
4516 -789 65; 56 668 333
4592 -655 119; 51 606 278
4644 -599 161; 45 541 216
4596 -691 248; -7 479 154
4611 -690 266; -41 410 92
4520 -817 247; -72 348 27
4434 -763 326; -70 289 -31
4322 -806 307; -86 229 -85
4194 -897 235; -120 175 -134
4105 -955 310; -112 123 -177
4152 -834 249; -98 79 -217
4111 -756 290; -102 38 -250
3998 -765 338; -121 5 -275
3921 -755 290; -145 -24 -302
3936 -670 194; -150 -47 -320
3888 -731 147; -154 -66 -333
3903 -775 90; -148 -82 -341
3947 -780 -41; -127 -95 -343
3938 -790 -61; -91 -105 -340
3979 -678 -66; -37 -114 -328
3993 -617 -139; -16 -121 -320
4080 -479 -180; -7 -127 -307
4093 -552 -311; -29 -129 -296
4163 -511 -345; -33 -133 -280
4158 -564 -407; -19 -135 -264
4115 -531 -436; 8 -136 -247
4160 -449 -435; 49 -139 -228
4179 -350 -565; 52 -138 -215
