341 -1359 -3774; 44 -92 -26
-602 18 -4034; 16 -55 -4
-603 50 -4045; 15 -56 -4
-611 24 -4032; 15 -56 -3
-595 28 -4050; 14 -56 -4
-596 10 -4040; 13 -54 -3
-603 45 -4038; 13 -53 -3
-603 28 -4035; 11 -52 -4
-601 23 -4033; 13 -53 -3
-600 27 -4043; 15 -55 -4
-591 14 -4047; 16 -56 -3
-620 37 -4039; 14 -56 -3
-615 16 -4039; 16 -56 -4
-603 32 -4033; 16 -55 -4
-593 10 -4032; 15 -57 -3
-609 22 -4046; 15 -57 -4
-622 31 -4035; 14 -55 -4
-590 26 -4045; 15 -56 -4
-609 41 -4051; 14 -56 -4
-604 33 -4050; 15 -56 -4
-600 17 -4045; 16 -55 -4
-592 34 -4040; 15 -55 -5
-612 18 -4046; 15 -55 -3
-597 39 -4056; 16 -56 -2
-608 46 -4039; 15 -56 -4
-587 27 -4042; 15 -55 -3
-597 36 -4042; 16 -54 -2
-607 26 -4051; 15 -56 -3
-596 37 -4048; 15 -57 -4
-606 26 -4029; 15 -56 -3
-604 33 -4042; 14 -55 -3
-597 31 -4044; 14 -57 -3
-614 38 -4036; 15 -57 -3
-606 27 -4043; 15 -56 -2
-600 24 -4041; 14 -56 -1
-610 34 -4040; 15 -55 -4
-598 19 -4042; 16 -56 -4
-589 30 -4053; 15 -56 -4
-605 29 -4042; 15 -56 -3
-607 27 -4041; 15 -56 -3
-607 25 -4042; 15 -55 -2
-595 21 -4052; 15 -56 -3
-596 22 -4035; 15 -56 -3
-592 42 -4037; 16 -56 -4
-625 28 -4032; 15 -55 -4
-597 38 -4031; 15 -55 -3
-606 32 -4028; 16 -56 -4
-597 33 -4040; 16 -55 -2
-595 12 -4034; 16 -56 -3
-594 18 -4034; 17 -57 -3
-606 29 -4029; 16 -58 -3
-607 44 -4028; 16 -56 -4
-611 39 -4032; 16 -56 -3
-609 19 -4040; 14 -56 -5
-603 18 -4044; 15 -55 -4
-604 34 -4041; 15 -55 -4
-597 19 -4033; 15 -56 -3
-597 16 -4044; 15 -57 -3
-596 18 -4047; 15 -55 -3
-608 21 -4035; 14 -56 -2
-591 16 -4030; 13 -56 -3
-609 22 -4028; 14 -56 -4
-616 24 -4042; 16 -56 -4
-609 18 -4042; 15 -55 -3
-609 27 -4043; 15 -54 -3
-617 24 -4020; 13 -55 -3
