-2322 3811 2639; 1935 -3221 184
1384 3490 1644; 7 -155 137
1386 3515 1642; 18 -159 145
1412 3446 1635; 39 -161 145
1461 3406 1626; 39 -164 147
1478 3427 1610; -12 -168 155
1494 3445 1602; -88 -171 157
1495 3469 1604; -148 -174 157
1468 3559 1600; -170 -177 162
1457 3545 1604; -147 -181 162
1474 3529 1621; -126 -182 158
1480 3610 1599; -108 -183 162
1477 3628 1600; -79 -184 157
1457 3647 1646; -36 -185 150
1484 3712 1684; 9 -183 148
1523 3622 1675; 76 -181 142
1580 3540 1684; 117 -178 133
1618 3530 1699; 110 -175 133
1646 3472 1704; 76 -171 129
1615 3433 1717; 39 -167 125
1613 3486 1709; 21 -163 130
1628 3430 1676; 33 -160 133
1607 3382 1664; 51 -156 130
1613 3422 1630; 73 -154 137
1593 3415 1631; 105 -151 143
1663 3304 1654; 135 -149 143
1693 3345 1697; 118 -147 150
1703 3359 1731; 71 -144 158
1708 3339 1703; 19 -139 156
1686 3385 1674; -25 -135 160
1707 3420 1637; -59 -130 161
1736 3409 1581; -74 -126 156
1734 3448 1583; -53 -123 152
1724 3418 1575; -1 -117 146
1707 3337 1590; 48 -110 135
1705 3304 1593; 88 -103 124
1737 3257 1570; 111 -95 114
1703 3240 1558; 127 -89 101
1736 3176 1569; 132 -77 84
1715 3215 1546; 99 -68 70
1699 3256 1544; 89 -56 53
1657 3263 1563; 149 -42 26
1647 3297 1560; 246 -23 -3
1622 3336 1530; 352 -2 -34
1562 3398 1496; 482 24 -76
1566 3464 1455; 650 50 -127
1591 3529 1556; 805 78 -181
1629 3592 1533; 898 109 -247
1577 3634 1559; 980 143 -324
1604 3748 1565; 1040 178 -414
1671 3914 1603; 1023 206 -510
1605 4118 1444; 975 239 -616
1527 4309 1163; 976 268 -746
1511 4564 1070; 990 288 -893
1324 5059 1001; 954 300 -1051
1426 5425 1213; 957 316 -1236
1376 5958 844; 953 320 -1437
1485 6451 853; 1385 333 -1647
1544 6603 789; 1989 335 -1891
1636 7131 869; 2427 301 -2145
1715 7512 746; 2853 262 -2405
1842 7790 627; 3490 209 -2683
2030 7864 658; 4319 109 -2966
2168 8080 492; 5072 -32 -3234
2312 8272 331; 5805 -218 -3493
2456 8325 289; 6573 -456 -3731
2456 8225 113; 7342 -742 -3922
2382 7778 -89; 8079 -1068 -4061
2123 6942 -322; 8664 -1446 -4123
1948 8039 -2647; 8956 -1846 -4095
2033 8455 -4043; 9588 -2267 -3997
995 7294 -3993; 11657 -2818 -3835
568 5682 -4265; 12856 -3414 -3520
-21 4103 -4419; 12674 -3935 -3049
-317 2940 -3969; 11251 -4434 -2532
-510 2214 -3703; 9199 -4831 -2044
-913 1712 -3974; 7366 -5056 -1610
-1404 1260 -3370; 6230 -5245 -1236
-1862 794 -2665; 6078 -5384 -874
-2111 390 -2985; 6874 -5406 -462
-2289 164 -3195; 8197 -5402 44
-2431 -43 -2381; 9460 -5372 642
-2781 -129 -993; 9996 -5262 1288
-2927 -409 458; 10099 -5056 1925
-2811 -775 1371; 10100 -4737 2535
-2602 -1317 1815; 9684 -4340 3099
-2319 -1556 2026; 8750 -3916 3579
-2008 -815 1834; 7647 -3488 3971
-1780 -73 1788; 6947 -3066 4290
-1608 50 1811; 6699 -2650 4526
-1544 -46 1867; 6620 -2215 4711
-1412 133 2025; 6616 -1766 4883
-1162 406 2418; 6640 -1319 5015
-583 525 2593; 6687 -850 5094
983 -2221 -1315; 6709 -315 5127
708 -1988 -2404; 7125 283 5098
-140 962 2347; 8536 620 5206
-346 2702 3610; 10335 1256 5194
-291 268 1578; 11329 2216 4771
-608 635 1770; 11156 2899 4444
-628 2408 1714; 10663 3497 4095
-41 1672 1503; 11111 4133 3462
804 1802 1873; 12407 4694 2799
1703 2404 2304; 13543 5197 2026
1906 2168 2582; 13591 5536 1064
1520 1617 1900; 12450 5704 77
1095 1017 799; 11041 5737 -832
714 897 597; 10109 5624 -1617
791 579 582; 9503 5430 -2320
1354 -124 378; 8565 5178 -2975
1937 -331 248; 7189 4880 -3498
2025 -527 142; 5896 4606 -3899
1920 -935 -72; 4825 4370 -4228
1769 -1056 -303; 3938 4162 -4461
1749 -1225 -339; 3311 3976 -4631
1958 -1745 -199; 2887 3809 -4781
2477 -2046 -220; 2562 3665 -4887
3635 -2227 -320; 2389 3531 -4962
4921 -2182 -161; 2356 3383 -5025
5865 -1814 -474; 2274 3251 -5070
6295 -1478 -1083; 2110 3124 -5130
6337 -823 -1315; 1881 2972 -5177
6220 -322 -1631; 2006 2822 -5208
6623 -256 -1338; 2397 2671 -5276
6632 -766 -663; 2913 2446 -5346
6746 -2163 -967; 3344 2244 -5424
6885 -3316 -3074; 3228 2063 -5506
6233 -2943 -1511; 2880 1749 -5490
6225 -2434 -709; 2797 1496 -5473
6506 -2534 -612; 2600 1338 -5501
7021 -1606 -758; 2017 1128 -5469
7117 -1597 -985; 1660 959 -5450
6910 -2129 -1092; 1744 839 -5465
6898 -1972 -640; 2000 656 -5415
7113 -2090 -635; 2162 480 -5368
7110 -2542 -1237; 1997 326 -5353
6860 -2122 -1325; 1661 141 -5281
6589 -1195 -1182; 1375 -25 -5189
6385 -1146 -1406; 1169 -143 -5149
6129 -1139 -1380; 1065 -275 -5095
5912 -761 -1387; 997 -411 -5009
6142 -223 -1830; 941 -512 -4948
6481 788 -1914; 970 -624 -4879
6300 1449 -1519; 1059 -752 -4799
5899 911 -1337; 1063 -870 -4771
5635 386 -1314; 828 -980 -4740
5904 960 -1633; 515 -1068 -4658
6409 1680 -2001; 360 -1135 -4579
6274 1856 -1834; 484 -1202 -4500
5722 1550 -1344; 643 -1276 -4413
4873 1048 -1225; 496 -1327 -4308
4154 1318 -1604; 72 -1340 -4160
3883 1891 -2063; -26 -1326 -3993
3911 1671 -1764; 346 -1324 -3828
3814 1435 -1203; 712 -1329 -3619
3597 1290 -841; 678 -1318 -3374
3280 1315 -961; 244 -1263 -3123
3026 1737 -1518; -268 -1163 -2856
2829 1782 -1564; -512 -1067 -2593
2666 1670 -1318; -286 -968 -2323
2618 2022 -1402; 190 -844 -2024
2612 2302 -1254; 505 -738 -1739
2535 2626 -1138; 604 -647 -1474
2477 3095 -1192; 507 -540 -1223
2529 3301 -1456; 194 -437 -1019
2587 3590 -1812; -37 -345 -831
2668 3914 -1939; -8 -262 -646
2673 3899 -1846; 148 -187 -500
2696 3873 -1773; 259 -122 -375
2776 3865 -1718; 306 -59 -256
2852 3699 -1600; 302 -8 -157
2799 3639 -1631; 238 38 -72
2700 3588 -1678; 149 79 3
2637 3545 -1825; 63 107 64
2648 3589 -1934; 30 124 119
2649 3647 -1971; 69 136 166
2624 3619 -1892; 138 139 200
2664 3611 -1824; 186 137 226
2696 3666 -1782; 189 131 246
2693 3650 -1773; 183 126 256
2610 3649 -1708; 174 118 258
2530 3669 -1628; 150 105 255
2494 3622 -1617; 130 93 249
2446 3549 -1617; 118 80 240
2386 3485 -1596; 115 67 231
2361 3434 -1621; 81 55 220
2328 3362 -1686; 59 41 210
2304 3394 -1727; 71 24 205
2247 3378 -1755; 93 10 196
2211 3338 -1742; 122 -7 186
2185 3352 -1697; 125 -28 181
2183 3322 -1697; 124 -40 175
2143 3257 -1696; 119 -54 169
2077 3255 -1647; 105 -69 167
2062 3249 -1676; 70 -79 164
2067 3225 -1700; 36 -87 160
2112 3221 -1684; 49 -96 161
2120 3209 -1659; 84 -102 163
2089 3143 -1614; 122 -105 163
2109 3153 -1552; 149 -108 165
2085 3160 -1519; 148 -106 169
2084 3127 -1492; 111 -103 171
2112 3149 -1511; 56 -100 172
2124 3165 -1543; 23 -94 175
2165 3113 -1567; 32 -85 175
2194 3140 -1514; 63 -78 177
2216 3121 -1517; 89 -69 179
2176 3068 -1556; 109 -58 179
2102 3084 -1553; 123 -49 177
2086 3087 -1524; 137 -41 177
2116 3042 -1532; 131 -34 172
2154 3036 -1579; 111 -25 166
2150 3049 -1592; 114 -20 160
2103 3052 -1594; 133 -18 150
2223 3125 -1641; 224 -22 86
2276 3115 -1616; 174 -28 67
2269 3119 -1662; 84 -34 47
2210 3129 -1730; 18 -41 27
2210 3124 -1760; 7 -48 8
2197 3123 -1803; 32 -55 -5
2219 3043 -1816; 80 -62 -19
2192 3002 -1807; 124 -67 -30
2221 3039 -1815; 138 -74 -34
2219 3074 -1812; 113 -78 -39
2214 3062 -1775; 44 -82 -42
2252 3021 -1798; -22 -83 -44
2262 2994 -1789; -26 -83 -41
2266 3001 -1764; 13 -79 -33
2244 3000 -1698; 59 -73 -24
2278 2964 -1686; 99 -64 -15
2269 2965 -1644; 114 -54 0
2214 2947 -1614; 109 -42 15
2258 2895 -1640; 83 -29 29
2296 2897 -1664; 66 -17 43
2346 2845 -1621; 82 -3 64
2345 2827 -1553; 95 11 82
2338 2821 -1502; 82 25 101
2301 2831 -1547; 69 41 120
2290 2776 -1547; 83 54 135
2312 2747 -1517; 111 68 150
2330 2762 -1515; 131 82 165
2356 2728 -1513; 151 92 175
2347 2783 -1510; 174 104 184
2277 2833 -1520; 204 113 190
2280 2749 -1479; 253 120 186
2300 2693 -1470; 279 125 179
2275 2786 -1594; 288 126 172
2236 2725 -1691; 364 123 157
2198 2679 -1748; 473 113 138
2092 2665 -1899; 565 95 115
2001 2614 -2219; 672 70 79
1987 2464 -2399; 876 21 24
2066 2313 -2452; 1152 -49 -35
2080 2467 -2768; 1477 -100 -70
2044 2826 -3111; 1704 -169 -106
1906 3248 -3451; 1707 -298 -190
1795 2988 -3777; 1799 -448 -309
2142 2779 -3990; 2132 -612 -409
2443 3326 -4702; 2326 -791 -501
2810 3787 -5510; 2626 -1007 -614
3306 3948 -5833; 3022 -1291 -755
3688 4062 -6372; 3352 -1610 -887
3866 4270 -7267; 3771 -1929 -999
3745 4380 -7921; 4382 -2293 -1094
3741 4217 -8280; 5160 -2702 -1152
3866 4114 -8855; 6100 -3115 -1142
4076 3955 -8978; 7279 -3529 -1036
4605 3741 -8800; 8547 -3931 -825
5058 2802 -8138; 9824 -4258 -493
5428 1766 -7537; 10874 -4487 -22
5234 862 -7709; 11394 -4615 562
4436 244 -7744; 11436 -4683 1182
3219 -624 -6996; 10827 -4709 1799
3427 -1316 -5966; 8499 -4668 2276
3511 -2294 -7126; 6519 -4535 2591
2603 -2047 -6779; 7710 -4321 2995
2550 -2146 -5468; 11119 -4014 3553
2806 -4867 -5254; 13355 -3465 4089
1418 -6066 -4023; 14246 -2765 4654
-71 -4367 -3060; 14043 -2035 5251
-630 -4381 -2958; 13132 -1241 5589
-550 -5037 -2748; 11959 -459 5727
-307 -3712 -1889; 10774 225 5868
-274 -2164 -1415; 9969 869 5882
-367 -1849 -1189; 9932 1522 5741
-422 -1815 -540; 10421 2186 5559
-381 -1992 588; 10427 2811 5280
-168 -1909 1145; 9374 3367 4910
7 -1277 637; 7769 3830 4549
-24 -680 -110; 6569 4188 4212
-243 162 -904; 5998 4457 3872
-488 1092 -2096; 5961 4698 3530
-455 1419 -2507; 6221 4908 3158
-316 1437 -1927; 6329 5044 2733
-278 1926 -1725; 6120 5165 2298
-398 2285 -1798; 5943 5284 1872
-610 2050 -1457; 5989 5344 1422
-796 1795 -1174; 5969 5381 952
-736 2080 -1265; 5750 5401 506
-663 2262 -1172; 5553 5373 66
-758 2239 -1123; 5466 5318 -384
-735 3050 -1981; 5386 5248 -825
-806 3467 -2584; 5741 5146 -1276
-969 2672 -2191; 6636 4974 -1801
-885 2470 -2141; 7371 4743 -2353
-455 2862 -2459; 8074 4478 -2889
303 3108 -2227; 9038 4096 -3456
987 3302 -1679; 10162 3579 -4052
1467 3063 -1137; 11156 2977 -4622
1634 2488 -656; 11387 2270 -5126
1588 2123 -213; 10533 1485 -5516
1511 1679 53; 8994 741 -5787
1547 1132 151; 7396 97 -5970
1750 730 -42; 6155 -442 -6066
2072 295 -432; 5299 -893 -6112
2384 -226 -429; 4664 -1302 -6129
2665 -444 -127; 4113 -1671 -6111
2981 -580 83; 3590 -1983 -6072
3233 -811 493; 3100 -2251 -6035
3427 -979 981; 2569 -2481 -5991
3664 -949 1327; 1922 -2654 -5946
4015 -856 1438; 1263 -2769 -5911
4401 -990 1489; 791 -2834 -5892
4742 -1265 1635; 587 -2873 -5875
4951 -1310 1577; 487 -2895 -5844
5098 -1191 1166; 354 -2896 -5804
5150 -1024 599; 174 -2898 -5772
5116 -2064 734; 198 -2917 -5716
5396 -2180 776; 762 -2936 -5639
5893 -2163 833; 1417 -2976 -5539
6249 -1937 911; 2114 -3071 -5411
6689 -1475 601; 2529 -3194 -5263
7007 -508 72; 2739 -3330 -5113
6841 -846 484; 3009 -3502 -4968
6669 -965 582; 3682 -3689 -4808
6806 -1374 1064; 4708 -3879 -4570
6921 -2593 1925; 5278 -4124 -4277
6736 -3386 2229; 4460 -4371 -3985
6338 -2400 1159; 2478 -4516 -3728
6156 -1062 -545; 801 -4585 -3574
6344 -442 -2002; 367 -4633 -3510
7234 350 -3249; 708 -4687 -3435
7966 1070 -3873; 1301 -4771 -3332
8168 745 -3384; 1938 -4905 -3231
8109 10 -2435; 2362 -5063 -3095
7672 -426 -1956; 2299 -5188 -2906
7200 -743 -2009; 1766 -5282 -2740
6866 -513 -2736; 1182 -5356 -2603
6810 -82 -3548; 900 -5396 -2481
7284 335 -3930; 990 -5441 -2375
7509 1164 -3785; 1062 -5486 -2245
6996 1029 -3061; 895 -5478 -2121
5995 124 -2265; 525 -5444 -2042
5166 90 -2861; -290 -5380 -1992
4596 382 -3871; -961 -5255 -1968
4310 564 -3609; -884 -5108 -1941
3998 538 -2950; -527 -4936 -1889
3709 419 -2440; -427 -4715 -1809
3287 314 -2361; -579 -4459 -1720
2465 133 -2490; -638 -4166 -1627
1810 218 -2504; -505 -3844 -1500
1405 407 -2076; -342 -3521 -1357
1123 683 -2228; -316 -3188 -1230
740 967 -2649; -246 -2842 -1098
626 1253 -2669; -36 -2508 -956
594 1270 -2870; 200 -2173 -821
512 1261 -3003; 340 -1864 -696
376 1331 -3019; 410 -1588 -581
379 1440 -3259; 386 -1308 -480
355 1631 -3578; 211 -1055 -399
377 1766 -3828; 63 -837 -336
562 1824 -4045; 83 -631 -277
441 1915 -4238; 151 -449 -226
482 1812 -4252; 193 -295 -187
512 1645 -4301; 233 -165 -159
555 1652 -4438; 202 -53 -129
638 1581 -4494; 162 44 -106
668 1528 -4508; 122 125 -84
726 1610 -4503; 64 187 -58
711 1595 -4589; 46 239 -38
731 1540 -4596; 80 283 -21
790 1525 -4506; 122 312 0
811 1450 -4508; 156 335 18
820 1416 -4462; 160 354 33
882 1409 -4384; 130 362 51
873 1449 -4368; 69 368 66
822 1442 -4302; -31 372 75
765 1450 -4267; -114 371 85
778 1471 -4225; -144 365 97
760 1434 -4253; -125 362 105
696 1353 -4264; -61 359 111
693 1328 -4203; 32 349 119
650 1299 -4143; 125 342 124
636 1314 -4089; 167 333 131
645 1308 -4051; 131 318 134
613 1279 -4053; 75 308 135
534 1297 -4003; 14 295 140
489 1279 -3968; -57 279 144
497 1244 -4049; -89 264 145
464 1288 -4077; -35 252 149
454 1262 -4044; 87 236 154
476 1212 -3998; 192 224 156
497 1223 -3972; 257 210 160
514 1213 -3892; 257 192 165
587 1173 -3867; 176 179 163
644 1200 -3892; 12 166 162
642 1224 -3885; -107 150 162
568 1249 -3926; -129 138 163
517 1275 -3987; -88 129 161
520 1264 -3912; 3 116 159
580 1288 -3854; 108 107 158
589 1284 -3821; 176 103 154
596 1313 -3793; 159 95 150
641 1283 -3777; 102 91 143
691 1274 -3771; 10 87 135
696 1269 -3764; -110 77 129
689 1301 -3823; -203 74 121
632 1355 -3895; -236 76 114
546 1380 -3887; -178 74 109
477 1383 -3858; -56 75 101
581 1382 -3859; 68 74 92
712 1372 -3842; 141 76 85
784 1360 -3845; 146 77 76
821 1374 -3872; 62 78 65
824 1328 -3895; -51 76 53
816 1333 -3919; -119 77 43
766 1319 -3921; -126 81 38
735 1294 -3876; -84 82 31
729 1280 -3904; -11 87 25
790 1312 -3920; 60 93 21
889 1305 -3895; 120 102 15
951 1326 -3857; 148 109 11
924 1348 -3848; 107 118 6
894 1356 -3849; 43 126 -2
902 1333 -3876; 12 136 -8
887 1367 -3833; 9 146 -10
937 1324 -3809; 19 157 -17
952 1300 -3772; 39 169 -21
948 1321 -3757; 49 182 -20
956 1309 -3767; 38 192 -23
981 1277 -3792; 22 207 -27
983 1257 -3765; 25 218 -27
974 1237 -3749; 57 229 -26
978 1232 -3780; 86 240 -26
985 1218 -3751; 91 247 -25
965 1155 -3719; 92 252 -23
899 1185 -3760; 92 259 -22
922 1198 -3763; 99 261 -22
949 1181 -3774; 141 259 -23
966 1196 -3803; 206 255 -21
1000 1206 -3784; 259 248 -22
987 1189 -3772; 289 240 -26
918 1176 -3792; 288 231 -30
888 1234 -3774; 236 213 -33
991 1192 -3789; 190 197 -39
1047 1161 -3841; 184 182 -47
1083 1180 -3861; 214 163 -49
1078 1166 -3849; 248 143 -50
1035 1121 -3841; 258 126 -54
1004 1087 -3808; 251 106 -57
1041 1081 -3766; 246 88 -58
1113 1109 -3755; 246 69 -61
1077 1204 -3734; 210 51 -62
1033 1232 -3776; 187 35 -64
1070 1197 -3805; 177 19 -70
1144 1155 -3797; 185 3 -75
1169 1124 -3781; 201 -13 -78
1179 1056 -3761; 202 -26 -77
1110 1035 -3743; 192 -38 -76
1020 1073 -3706; 179 -47 -74
1031 1033 -3680; 176 -60 -72
1107 1005 -3695; 197 -68 -68
1122 994 -3685; 219 -74 -62
1115 986 -3658; 235 -84 -57
1141 1021 -3661; 186 -93 -53
1158 1018 -3699; 123 -100 -50
1081 1032 -3735; 122 -109 -45
1019 1005 -3748; 161 -120 -40
964 889 -3725; 237 -130 -36
933 780 -3786; 331 -143 -25
893 580 -3756; 475 -160 -13
881 575 -3841; 642 -188 4
758 803 -4384; 753 -229 18
596 587 -4418; 938 -305 17
628 170 -4477; 1207 -385 26
555 198 -5174; 1484 -460 62
839 5 -5605; 1694 -588 92
961 -130 -5580; 1724 -763 118
1381 -239 -5817; 1790 -936 159
1324 -145 -6793; 2134 -1121 217
1238 -551 -6693; 3048 -1330 301
1392 -1743 -6514; 4195 -1565 420
1553 -1533 -7188; 4286 -1817 560
1759 -1835 -7816; 4800 -2029 738
1915 -1925 -7738; 5688 -2247 978
2062 -2288 -7669; 6454 -2451 1235
2048 -2648 -7912; 7090 -2597 1526
2334 -2752 -7986; 7716 -2689 1869
2276 -2589 -7969; 8441 -2733 2231
2307 -3514 -7430; 9370 -2677 2601
2490 -4638 -7076; 10137 -2523 2984
2254 -5352 -6628; 10376 -2300 3369
1540 -5530 -6650; 10162 -2013 3727
621 -7295 -6260; 10007 -1682 4026
918 -6288 -4449; 8764 -1377 4276
1067 -7559 -3583; 7099 -1107 4414
727 -7236 -2753; 7754 -751 4544
-353 -5621 -2552; 10160 -234 4777
-2839 -5689 -1692; 11899 367 4865
-4470 -4962 -605; 12899 1034 4810
-4056 -3773 -225; 13396 1781 4731
-2699 -3869 897; 13461 2466 4469
-1762 -4124 2059; 12957 3087 4072
-1437 -3219 2094; 11895 3677 3669
-1500 -2646 1883; 10475 4123 3224
-1497 -2818 1606; 8889 4427 2735
-1698 -2147 882; 7310 4665 2317
-2133 -472 177; 6158 4816 1994
-2195 69 -307; 5613 4908 1649
-2056 -95 -1021; 5335 4982 1274
-1935 159 -1467; 4993 5014 955
-1812 17 -1244; 4747 5004 648
-1715 -156 -962; 4539 4977 322
-1529 498 -1214; 4434 4957 46
-1171 722 -1219; 4622 4927 -231
-909 346 -780; 4808 4850 -566
-632 594 -892; 4723 4772 -876
-386 1476 -1645; 4548 4694 -1156
-148 1844 -1889; 4706 4570 -1463
-131 1637 -1414; 5225 4416 -1796
-227 1538 -1067; 5614 4235 -2141
-363 1562 -891; 5695 4029 -2492
-429 1974 -1314; 5746 3796 -2835
-11 2612 -1931; 6143 3544 -3168
712 2789 -2038; 7263 3215 -3545
1676 2903 -1556; 8947 2761 -3953
2144 3053 -1372; 10528 2202 -4344
2022 3117 -1822; 11042 1562 -4705
1542 2633 -1196; 10155 797 -5007
1192 2340 -853; 8232 37 -5217
1232 1996 -1325; 6262 -542 -5361
1441 1554 -1622; 5095 -1029 -5451
1654 1075 -1736; 4666 -1474 -5495
1819 523 -1566; 4493 -1898 -5525
2007 230 -1316; 4280 -2313 -5521
2279 185 -1107; 4072 -2687 -5486
2640 263 -782; 3857 -3046 -5438
3059 254 -384; 3481 -3375 -5383
3566 64 -97; 2946 -3658 -5340
4087 -117 145; 2417 -3898 -5301
4442 -349 222; 1977 -4086 -5257
4686 -783 310; 1561 -4244 -5228
4968 -1335 514; 1212 -4372 -5210
5430 -1657 698; 1012 -4468 -5179
5928 -1758 872; 994 -4542 -5130
6248 -1772 1109; 1054 -4602 -5073
6422 -1655 1352; 935 -4661 -5007
6558 -1478 1558; 564 -4704 -4952
6728 -1540 1557; 193 -4711 -4927
6640 -2052 1525; 282 -4689 -4895
6589 -2621 1490; 1307 -4675 -4790
6901 -2468 1104; 2301 -4721 -4622
7326 -2327 713; 2616 -4809 -4408
7685 -1459 536; 2053 -4934 -4207
8174 -738 700; 1597 -5028 -4045
8479 -851 793; 2141 -5075 -3892
8516 -1611 972; 3472 -5155 -3669
8320 -2042 910; 4734 -5274 -3332
8193 -2023 681; 5049 -5415 -2936
8019 -1596 516; 4528 -5562 -2541
7917 -952 200; 3698 -5670 -2196
7832 -1054 34; 3297 -5731 -1900
7875 -1595 -41; 3495 -5769 -1600
7949 -1714 -435; 3545 -5780 -1272
7493 -1504 -993; 3168 -5770 -959
6911 -1350 -850; 2767 -5784 -685
6420 -1382 -711; 2517 -5794 -433
6482 -1696 -1845; 2331 -5752 -206
7375 -1311 -3647; 2124 -5696 22
7356 -1085 -3783; 1848 -5632 236
6712 -1466 -2665; 1645 -5561 417
5945 -1908 -1729; 1231 -5512 546
5163 -2036 -2197; 921 -5390 646
4555 -1619 -2854; 1140 -5196 773
4535 -1367 -2534; 1538 -5044 902
4584 -1093 -1731; 1629 -4846 999
3948 -1194 -2046; 1258 -4529 1071
2965 -1137 -2002; 605 -4272 1096
2406 -1345 -1489; 392 -4050 1077
2253 -1260 -2097; 631 -3731 1062
1903 -1021 -2544; 869 -3420 1060
1790 -843 -2801; 1088 -3151 1039
2038 -757 -3314; 1194 -2838 1010
1781 -790 -3657; 939 -2544 964
1378 -972 -3304; 512 -2326 881
1229 -1015 -3575; 334 -2073 796
1040 -818 -3830; 253 -1809 721
785 -802 -3668; 110 -1596 619
772 -953 -3999; 20 -1367 505
840 -970 -4055; 87 -1149 412
997 -1126 -3658; 212 -963 319
972 -1264 -3752; 298 -752 227
726 -1158 -3628; 271 -564 152
660 -1282 -3440; 244 -411 69
742 -1378 -3657; 254 -244 -8
639 -1294 -3771; 278 -92 -64
820 -1254 -3797; 255 28 -120
779 -1396 -4016; 198 138 -176
908 -1319 -4145; 133 231 -218
1022 -1411 -4079; 151 300 -254
994 -1422 -4142; 152 362 -281
953 -1458 -4161; 109 410 -302
970 -1563 -4105; 52 439 -318
955 -1660 -4069; -1 463 -326
1006 -1766 -4036; -16 482 -322
1051 -1831 -4001; -15 492 -312
999 -1847 -4060; -62 498 -299
974 -1793 -4094; -110 494 -281
1014 -1736 -4050; -113 484 -260
1004 -1643 -4045; -97 468 -239
908 -1609 -4077; -72 453 -219
878 -1585 -4072; -42 431 -202
887 -1537 -4014; -10 407 -186
927 -1563 -3987; 14 377 -170
923 -1625 -3957; 14 349 -154
906 -1659 -3929; 7 319 -138
912 -1667 -3840; 16 289 -121
880 -1612 -3758; 44 262 -102
823 -1652 -3729; 42 234 -85
785 -1616 -3742; -16 205 -67
737 -1604 -3761; -83 178 -52
729 -1609 -3799; -83 155 -37
772 -1591 -3744; -13 130 -21
740 -1567 -3704; 92 108 -4
745 -1546 -3665; 131 88 11
726 -1559 -3690; 96 66 17
743 -1506 -3695; 19 44 27
790 -1481 -3671; -69 24 34
766 -1468 -3716; -98 7 40
731 -1450 -3721; -71 -8 45
776 -1445 -3658; -20 -25 47
831 -1459 -3631; 40 -37 48
857 -1444 -3603; 90 -45 51
807 -1460 -3597; 95 -56 51
836 -1461 -3615; 44 -68 46
877 -1411 -3647; -30 -76 42
833 -1388 -3685; -83 -85 39
807 -1415 -3731; -95 -93 33
806 -1471 -3720; -69 -100 26
824 -1431 -3707; -30 -105 21
830 -1434 -3680; -11 -109 14
821 -1438 -3681; 3 -113 5
821 -1413 -3705; 12 -114 -3
815 -1423 -3693; 22 -116 -14
848 -1405 -3667; 24 -117 -24
847 -1373 -3660; 1 -116 -35
846 -1387 -3684; -47 -114 -47
785 -1416 -3770; -82 -112 -59
774 -1428 -3774; -73 -109 -69
825 -1434 -3724; -43 -105 -80
876 -1475 -3704; -29 -101 -91
838 -1434 -3728; -6 -93 -100
846 -1417 -3744; 36 -87 -108
896 -1409 -3705; 60 -81 -119
920 -1401 -3666; 58 -73 -131
902 -1413 -3697; 29 -64 -141
842 -1440 -3675; -14 -59 -148
875 -1420 -3674; -66 -51 -156
891 -1478 -3739; -106 -43 -161
909 -1485 -3787; -91 -35 -168
919 -1462 -3786; -18 -28 -168
970 -1446 -3746; 73 -19 -168
963 -1464 -3727; 114 -7 -174
952 -1461 -3727; 93 -1 -178
917 -1468 -3729; 69 7 -180
933 -1438 -3776; 31 20 -181
985 -1458 -3738; -34 26 -185
992 -1460 -3766; -108 36 -191
965 -1448 -3818; -140 48 -192
943 -1430 -3853; -106 57 -193
972 -1417 -3866; -9 65 -192
1005 -1403 -3818; 95 75 -193
1017 -1415 -3774; 152 85 -196
1055 -1389 -3742; 140 92 -200
1084 -1389 -3694; 84 101 -202
1110 -1402 -3687; 21 109 -206
1100 -1371 -3685; -26 118 -208
1080 -1353 -3678; -38 128 -211
1089 -1340 -3684; -2 140 -213
1105 -1313 -3667; 43 152 -217
1131 -1320 -3641; 66 162 -219
1192 -1297 -3627; 59 176 -225
1136 -1271 -3638; 27 189 -235
1092 -1267 -3669; 3 202 -242
1163 -1196 -3630; -40 217 -250
1224 -1222 -3626; -88 233 -264
1247 -1189 -3597; -134 253 -277
1224 -1160 -3627; -151 275 -289
1278 -1238 -3579; -75 300 -306
1352 -1214 -3427; 68 330 -320
1299 -1192 -3333; 209 370 -332
1257 -1195 -3238; 286 412 -354
1274 -1181 -3129; 287 459 -377
1216 -1176 -3180; 246 517 -400
1229 -1104 -3117; 171 568 -428
1288 -1086 -3067; 98 622 -456
1387 -1065 -3143; 92 687 -481
1432 -1041 -3184; 175 747 -509
1432 -1066 -3155; 341 800 -540
1455 -1003 -3096; 523 853 -568
1410 -1092 -3034; 700 900 -599
1368 -1153 -2995; 877 931 -629
1418 -1119 -3052; 1044 950 -653
1467 -1424 -3230; 1233 953 -671
1278 -1349 -3431; 1311 926 -675
1330 -2012 -3892; 1329 853 -657
1766 -2733 -3653; 1265 720 -620
1982 -3213 -3759; 1078 576 -522
1646 -3541 -4518; 1097 433 -364
1581 -4814 -4524; 1609 237 -178
1744 -4946 -5002; 1949 -42 82
1991 -5291 -4505; 2503 -338 400
2581 -5915 -4795; 3254 -569 721
3149 -6738 -5667; 3756 -805 1090
3460 -6809 -5214; 4001 -1137 1575
3543 -7306 -5257; 4421 -1410 2078
3283 -8773 -6286; 4966 -1595 2550
3526 -8956 -6131; 5792 -1781 3122
3919 -8730 -6077; 6997 -1866 3763
4520 -9179 -6002; 8539 -1758 4353
5148 -8603 -5359; 10094 -1499 4967
5882 -7667 -4451; 11418 -1055 5543
6568 -7688 -2625; 12216 -432 5916
6484 -9498 -1044; 12430 327 6109
5488 -9699 -260; 11319 1117 6232
3278 -11680 227; 9023 1757 6308
