200 -4117 620; 82 9 -120
5168 3128 657; 5271 181 -7933
5579 2921 812; 4819 -328 -8003
6121 3360 1074; 4687 -821 -8066
7739 4222 921; 5505 -1283 -8104
10487 4030 1121; 6986 -1848 -8093
13411 984 1365; 7047 -2571 -8053
13226 285 495; 3553 -3222 -8006
12079 2565 -2009; 198 -3515 -7975
12953 4673 -4131; -198 -3548 -7989
14185 3764 -4790; 277 -3622 -8124
13959 2292 -3846; 1172 -3882 -8192
13251 3035 -3744; 1608 -4153 -8053
12194 2618 -4383; 1315 -4318 -7888
11080 904 -4341; 799 -4474 -7760
9850 -309 -3537; 616 -4593 -7502
8047 108 -3224; 667 -4592 -7081
6639 -173 -3115; 383 -4535 -6699
5588 -279 -2782; -10 -4452 -6314
4313 373 -2305; 21 -4228 -5748
3594 791 -2893; 216 -3925 -5171
2948 588 -2483; 184 -3711 -4726
2339 1780 -2690; 262 -3445 -4184
1930 2880 -3145; 598 -3101 -3637
1931 2638 -1850; 896 -2852 -3233
1656 3857 -2105; 695 -2551 -2755
1541 3980 -2861; 149 -2210 -2352
1504 3370 -3253; -209 -1948 -2101
1235 3781 -3747; -134 -1675 -1776
1019 3834 -4045; 93 -1416 -1488
1081 3258 -3933; 292 -1232 -1313
1187 3629 -4067; 511 -1053 -1107
1515 3615 -3639; 694 -905 -931
1660 3486 -3310; 627 -797 -808
1335 4026 -3856; 349 -673 -671
797 4027 -4225; 152 -594 -606
604 3914 -4152; 149 -563 -571
533 4001 -4039; 232 -518 -507
343 3746 -4269; 251 -471 -478
164 3592 -4372; 380 -451 -468
162 3601 -3938; 632 -459 -442
329 3103 -3123; 769 -460 -424
239 3007 -2839; 625 -431 -395
49 2778 -2805; 290 -404 -379
-275 2578 -2762; 79 -387 -358
-431 2481 -2695; 49 -350 -319
-443 2297 -2505; 19 -320 -285
-438 2257 -2440; -92 -289 -241
-505 2395 -2531; -177 -246 -185
-518 2469 -2552; -242 -211 -138
-513 2574 -2606; -311 -173 -95
-690 2723 -2828; -340 -130 -42
-807 2745 -2928; -303 -103 -5
-892 2912 -3029; -256 -80 29
-788 2902 -3065; -170 -53 66
-663 2755 -3039; -113 -33 91
-552 2701 -2991; -110 -16 123
-604 2766 -3018; -109 3 157
-505 2699 -2842; -165 15 183
-546 2857 -2891; -316 25 204
-599 2895 -2968; -407 43 229
-544 2806 -2800; -419 51 247
-468 2954 -2711; -492 53 260
-642 3186 -2933; -593 65 272
-710 3145 -3035; -543 78 278
-584 3064 -3107; -397 77 277
-410 2977 -3110; -238 76 275
-239 2863 -3061; -82 76 273
-186 2827 -2822; -4 71 273
-234 2953 -2679; -71 65 268
-51 2791 -2422; -228 58 256
59 2996 -2398; -566 48 244
-49 3278 -2580; -836 44 230
-280 3495 -2678; -908 38 205
-479 3726 -2839; -926 24 175
-501 3806 -3014; -870 13 138
-445 3741 -3026; -670 -6 98
-416 3610 -2944; -394 -25 60
-264 3398 -2816; -181 -36 23
-188 3359 -2697; -151 -48 -5
-36 3449 -2616; -242 -58 -24
-35 3569 -2609; -387 -58 -37
-103 3541 -2619; -476 -47 -43
-266 3398 -2559; -470 -35 -45
-325 3278 -2514; -481 -14 -35
-424 3285 -2459; -508 25 -3
-467 3221 -2397; -456 77 45
-473 3239 -2138; -323 141 112
-309 3037 -2042; -162 237 204
-254 2662 -1890; 59 359 326
-194 2317 -1521; 204 474 461
-76 2244 -1316; 122 605 612
-33 2425 -1537; -77 771 796
79 2541 -1803; -223 927 986
315 2627 -1977; -239 1066 1162
567 2854 -2075; -150 1209 1345
654 3029 -2173; -12 1344 1520
778 3010 -2205; 132 1458 1654
851 3271 -2331; 269 1565 1769
858 3569 -2355; 401 1661 1871
1004 3477 -2374; 490 1734 1925
1199 3370 -2554; 551 1798 1957
1405 3254 -2665; 733 1851 1983
1653 2830 -2528; 1043 1879 1975
1693 2796 -2531; 1286 1897 1948
1445 2704 -2535; 1437 1903 1907
1188 2290 -2531; 1407 1863 1841
1323 2063 -3076; 1134 1795 1766
1641 2322 -3716; 859 1703 1674
1899 2903 -4074; 724 1548 1546
2110 3380 -3960; 820 1335 1376
2054 3712 -4005; 865 1102 1176
1614 3800 -4098; 702 843 941
1540 3615 -4377; 444 526 664
1484 3523 -4885; 315 147 356
1294 3506 -5861; 488 -265 29
1171 3803 -6662; 1073 -740 -319
1578 3660 -7302; 1685 -1308 -711
2285 3815 -8493; 2302 -1907 -1085
2862 4171 -10394; 2959 -2545 -1400
3530 3914 -12318; 3813 -3294 -1688
4260 3915 -14692; 5028 -4108 -1877
4862 4290 -16788; 6948 -4953 -1881
5613 5535 -17811; 9680 -5847 -1633
7099 6073 -17183; 12895 -6698 -1048
9462 6512 -15016; 15918 -7371 -44
11924 5786 -12084; 18053 -7664 1317
12131 1824 -10655; 18815 -7411 2829
10318 -3888 -10741; 17737 -6751 4400
6877 -3818 -10393; 11106 -6402 5721
1519 -886 -8397; 4172 -6516 6196
-1761 -3237 -13150; 8274 -5886 6342
-1416 -2246 -10040; 15316 -4855 7230
-783 -733 -5735; 18449 -3606 8213
-1045 -1460 -1748; 19879 -1786 8577
-472 -1298 -153; 20912 421 8811
-39 131 -284; 19673 2471 8680
892 1311 -1664; 16039 4024 7894
1893 3436 -4867; 12834 5232 7023
1409 5900 -6203; 12205 6106 6229
1178 5175 -4845; 12917 6694 5191
1681 2465 -3946; 12592 7212 3871
2579 2148 -2973; 11157 7529 2695
3263 3935 -2381; 10052 7611 1736
4025 4034 -1339; 9902 7571 704
4814 3203 -652; 10513 7492 -429
5506 3691 -897; 11634 7315 -1533
5956 4862 -1599; 12859 6939 -2642
6418 5961 -2853; 13777 6310 -3824
6897 6951 -4003; 14709 5427 -4961
6998 7926 -4390; 16162 4289 -5963
5911 8465 -3894; 17707 2865 -6784
4782 7976 -3083; 18515 1195 -7331
4461 6226 -2674; 17740 -557 -7541
4362 4106 -2798; 15359 -2136 -7421
4181 3506 -2851; 11956 -3414 -7043
3852 3808 -2444; 8503 -4360 -6622
3253 3789 -1317; 5549 -4999 -6336
2515 3501 14; 2965 -5378 -6158
2017 2881 1424; 657 -5568 -6126
2100 1727 1743; -872 -5565 -6221
1991 532 916; -1022 -5426 -6308
2953 -281 -977; 451 -5337 -6275
4808 -16 -1602; 1557 -5401 -6191
5969 384 -2267; 1795 -5544 -6060
6922 1551 -2382; 2051 -5719 -5871
7836 1946 -2661; 2611 -5902 -5706
8572 2001 -2463; 3090 -6121 -5528
9042 2656 -1833; 2766 -6381 -5300
9534 2883 -2038; 1993 -6591 -5147
10288 2350 -2392; 1833 -6736 -5069
11514 2653 -2554; 2544 -6906 -4921
13022 3119 -3279; 3712 -7106 -4677
13812 3003 -3681; 4838 -7364 -4373
14265 1629 -2738; 5587 -7690 -3966
14324 58 -1812; 5524 -8000 -3465
13744 -1152 -1243; 4259 -8225 -2988
12776 -755 -891; 2441 -8353 -2634
11855 -1119 -1006; 1614 -8376 -2408
10538 -2004 -1052; 1939 -8344 -2198
9962 -2011 -2645; 2360 -8275 -1889
9579 -1340 -4432; 2315 -8240 -1566
9076 -1457 -4546; 2162 -8278 -1314
9122 -1459 -4256; 2227 -8234 -1031
8004 -949 -4037; 2218 -8053 -702
6809 -1621 -2486; 1815 -7899 -474
5355 -1340 -1779; 1184 -7735 -293
4058 -698 -3084; 708 -7402 -116
3620 -943 -3218; 806 -7054 -7
3241 -863 -2166; 1035 -6721 99
2646 -611 -2531; 969 -6220 241
1696 -653 -2691; 555 -5717 326
653 -309 -2198; -96 -5315 337
-316 156 -2942; -433 -4786 340
-672 151 -3336; -262 -4225 330
-835 189 -2888; 47 -3775 311
-646 74 -3333; 438 -3270 311
-580 -65 -3807; 744 -2764 314
-651 -161 -3856; 815 -2352 315
-910 -219 -4382; 806 -1945 309
-1083 -225 -4536; 893 -1567 294
-1052 -90 -4124; 939 -1248 277
-1059 -35 -4296; 846 -922 241
-1223 -54 -4479; 636 -631 196
-1021 -95 -4448; 478 -389 151
-573 -350 -4752; 459 -159 96
-438 -475 -4905; 529 27 48
-228 -591 -4871; 587 162 7
171 -811 -5083; 508 273 -41
515 -1088 -5167; 351 345 -80
503 -1270 -5230; 298 392 -98
443 -1545 -5002; 409 430 -112
162 -1558 -4651; 420 443 -116
-182 -1151 -4422; -81 433 -101
-661 -679 -4835; -898 423 -97
-316 -708 -5055; -1782 253 -23
-455 -929 -5489; -1425 220 6
-1367 -422 -5753; -1029 149 32
-1243 -398 -5401; -444 55 58
-1263 -68 -6176; 183 -22 83
-1939 582 -6681; 271 -93 84
-2137 -32 -5775; 747 -195 90
-1927 -163 -4541; 1569 -291 110
-1405 -754 -4119; 2029 -314 115
-1120 -1123 -3623; 2264 -332 149
-1121 -1005 -3230; 2249 -353 201
-1099 -983 -3285; 2033 -328 226
-1208 -769 -3153; 1708 -304 253
-1548 -546 -3113; 1349 -292 281
-1637 -814 -3315; 1170 -245 277
-1943 -672 -3700; 1123 -198 274
-2229 -375 -3492; 1223 -159 280
-1965 -503 -2812; 1587 -108 263
-1525 -188 -2480; 1641 -62 240
-1200 196 -2573; 1238 -13 213
-932 71 -2624; 677 45 162
-1260 -162 -2880; 125 94 101
-1240 -495 -2993; -229 138 56
-938 -887 -2823; -236 180 19
-1169 -823 -2765; -138 226 -2
-1489 -771 -2883; -127 276 -7
-1511 -1015 -2985; -298 315 -26
-1378 -1178 -3246; -532 340 -40
-1328 -1150 -3611; -618 361 -30
-1300 -1127 -3831; -546 368 -16
-1286 -985 -4038; -408 361 -10
-1272 -754 -4228; -264 345 1
-1250 -703 -4268; -129 319 1
-1148 -654 -4244; 10 285 -4
-1022 -679 -4174; 188 251 -4
-903 -884 -4014; 331 214 -9
-954 -1018 -3853; 337 181 -18
-1148 -887 -3823; 200 148 -15
-1285 -850 -3843; -9 114 -12
-1398 -814 -3868; -109 90 -16
-1389 -732 -3867; -96 62 -12
-1235 -876 -3773; -61 33 -12
-1060 -913 -3903; -85 13 -17
-1180 -793 -3900; -87 -9 -3
-1248 -862 -3821; -70 -41 -2
-1159 -828 -4076; -163 -59 -12
-1094 -741 -4036; -148 -81 -4
-1118 -856 -3821; 51 -106 -1
-1209 -898 -3783; 233 -115 -4
-1282 -844 -3734; 289 -128 5
-1217 -897 -3669; 228 -147 5
-1072 -884 -3763; 127 -152 0
-1078 -756 -3744; 50 -160 5
-1133 -747 -3731; -36 -173 4
-1159 -769 -3800; -95 -176 -5
-1214 -773 -3739; -82 -178 -4
-1239 -886 -3634; -24 -180 -7
-1205 -968 -3653; 14 -176 -10
-1190 -923 -3677; 26 -168 -9
-1243 -842 -3665; 56 -164 -8
-1252 -849 -3680; 106 -157 -7
-1211 -854 -3678; 110 -151 -8
-1206 -907 -3691; 92 -145 -12
-1149 -913 -3737; 71 -138 -12
-1137 -849 -3727; 51 -134 -12
-1174 -908 -3750; 54 -128 -13
-1158 -919 -3741; 85 -124 -15
-1132 -924 -3701; 101 -121 -17
-1164 -958 -3710; 95 -116 -20
-1225 -918 -3756; 59 -110 -21
-1270 -831 -3755; 3 -108 -22
-1251 -817 -3808; -35 -103 -28
-1288 -784 -3848; -18 -96 -36
-1246 -779 -3845; 36 -96 -42
-1296 -825 -3854; 65 -94 -48
-1184 -871 -3849; 50 -90 -59
-1076 -803 -3995; -27 -90 -69
-1044 -737 -3970; -34 -93 -75
-1111 -807 -3823; 24 -95 -85
-1186 -844 -3794; 37 -96 -97
-1247 -782 -3818; -13 -97 -105
-1280 -804 -3828; -40 -100 -114
-1233 -904 -3885; -29 -98 -125
-1184 -940 -3888; 1 -99 -131
-1171 -933 -3860; 20 -102 -137
-1130 -889 -3889; 25 -101 -145
-1135 -855 -3872; 46 -102 -150
-1157 -798 -3875; 76 -106 -157
-1165 -812 -3821; 96 -106 -167
-1218 -795 -3785; 89 -107 -177
-1312 -836 -3862; 73 -104 -185
-1349 -886 -3913; 116 -101 -197
-1331 -932 -3783; 211 -99 -205
-1229 -935 -3682; 289 -94 -207
-1132 -1019 -3602; 274 -89 -215
-1084 -996 -3569; 198 -81 -222
-1173 -973 -3694; 138 -70 -224
-1350 -1011 -3795; 156 -59 -231
-1317 -954 -3715; 237 -51 -236
-1183 -916 -3636; 315 -41 -239
-1038 -983 -3555; 339 -33 -246
-985 -1042 -3558; 263 -26 -254
-1003 -1047 -3671; 139 -17 -258
-1082 -1099 -3688; 29 -8 -263
-994 -1128 -3626; 14 -3 -263
-980 -1145 -3612; -49 -1 -263
-1055 -1140 -3768; -133 2 -261
-1091 -1145 -3794; -190 5 -257
-1064 -1166 -3770; -231 5 -254
-1100 -1077 -3904; -273 3 -247
-1098 -1086 -3983; -261 3 -241
-1114 -1136 -4003; -159 4 -237
-1142 -1128 -4026; -1 2 -230
-1073 -1157 -3932; 131 0 -221
-961 -1225 -3853; 181 -4 -213
-945 -1130 -3755; 125 -1 -207
-948 -1115 -3865; -89 -4 -198
-849 -1079 -3851; -407 -7 -193
-901 -1035 -3863; -473 -2 -184
-1043 -999 -3997; -365 3 -174
-1162 -1046 -3897; -181 15 -165
-1149 -1093 -3764; 10 24 -154
-1144 -1291 -3834; 70 31 -144
-853 -1069 -3846; 128 42 -128
-762 -1095 -3806; 126 54 -114
-853 -1189 -3675; 162 61 -104
-910 -1115 -3707; 177 73 -86
-922 -1030 -3716; 101 87 -68
-1063 -1012 -3736; -9 97 -56
-1166 -983 -3850; -95 102 -42
-1029 -1047 -4047; -152 113 -28
-854 -1037 -3985; -187 120 -11
-849 -925 -3956; -162 123 8
-889 -1008 -4063; -159 129 21
-850 -977 -4182; -170 132 34
-896 -950 -4173; -68 135 49
-828 -948 -4243; 100 138 63
-739 -959 -4159; 226 143 71
-764 -835 -4119; 341 157 82
-845 -718 -4009; 353 173 85
-942 -619 -4102; 242 195 78
-934 -522 -4156; 99 217 64
-792 -552 -4121; -19 254 39
-632 -632 -4028; -65 308 9
-571 -615 -3915; -78 365 -22
-557 -589 -3726; -35 432 -60
-563 -533 -3653; 49 523 -101
-637 -556 -3499; 131 623 -150
-598 -482 -3215; 121 727 -204
-401 -364 -3084; -94 852 -260
-380 -391 -3132; -436 991 -320
-384 -372 -3179; -705 1126 -375
-367 -406 -3260; -711 1273 -418
-265 -470 -3302; -521 1428 -458
-77 -483 -3181; -370 1565 -499
125 -481 -3413; -304 1703 -535
262 -473 -3540; -281 1822 -568
261 -439 -3745; -262 1908 -596
362 -385 -3989; -140 1984 -620
499 -630 -3971; 118 2028 -640
541 -716 -3920; 311 2040 -658
647 -881 -3944; 397 2037 -671
625 -1189 -3949; 548 2006 -668
355 -1720 -4014; 735 1942 -647
192 -2027 -4040; 771 1836 -600
501 -2283 -3722; 753 1680 -537
-243 -2252 -4331; 680 1530 -474
152 -2843 -5609; 865 1349 -381
986 -2456 -5710; 1137 1036 -226
1210 -2909 -5933; 870 647 -84
1176 -2806 -7470; 654 272 93
1411 -2867 -7808; 717 -189 319
1385 -3150 -6898; 1009 -787 560
1393 -3447 -7494; 1055 -1378 827
1704 -4229 -8379; 1123 -1978 1123
2052 -5334 -9009; 1736 -2651 1468
2421 -6965 -10756; 2983 -3287 1883
2955 -8859 -13389; 4745 -3880 2403
4062 -10133 -15019; 7441 -4412 3088
5327 -10087 -15859; 11302 -4704 4008
6438 -8948 -14956; 15713 -4586 5161
7584 -7031 -12952; 19676 -3907 6438
8505 -5512 -10755; 21910 -2632 7556
8016 -8554 -5112; 21665 -987 8231
8342 -9320 -1547; 16232 624 8580
4720 -1606 -1633; 4390 1269 8761
-3214 -691 -2790; 1648 1105 8547
-3129 -4795 -4982; 10814 1898 8174
-1788 -2638 -1064; 21256 3587 7831
-1456 2621 2603; 25649 5304 6904
-1315 1993 2849; 24327 6765 4874
-276 -2552 -952; 20707 7793 2565
-111 -1555 -6808; 15717 8153 963
-1173 1677 -8176; 11422 7830 -140
-2205 1444 -5907; 9802 7306 -1268
-2861 2351 -5232; 9668 6906 -2242
-3322 4525 -4203; 9682 6405 -3007
-3096 4381 -1669; 9545 5708 -3856
-2599 2759 -1860; 9381 5068 -4694
-1658 1962 -4761; 8924 4462 -5303
-349 1208 -6128; 8327 3690 -5754
1973 -225 -5299; 7954 2833 -6152
4183 -101 -5397; 7716 2058 -6406
5506 1337 -5999; 8110 1312 -6509
6337 2490 -5921; 9175 506 -6569
6808 3625 -5342; 10870 -438 -6561
6956 3079 -4384; 12737 -1537 -6475
6729 917 -5340; 14410 -2607 -6236
6204 -237 -6568; 15310 -3642 -5653
5534 315 -6071; 15453 -4718 -4742
4874 902 -5137; 14845 -5659 -3745
4068 1623 -5027; 13380 -6292 -2751
3716 2590 -4663; 11085 -6709 -1765
3807 2860 -3246; 8193 -7043 -1022
4126 2227 -2364; 5552 -7227 -574
4423 2224 -2370; 3815 -7273 -234
4653 2712 -1794; 2916 -7325 36
4830 2434 -1061; 2534 -7370 188
5096 2254 -715; 2453 -7358 336
5212 2416 -74; 2357 -7350 516
5221 2405 589; 1997 -7357 643
5263 906 -302; 1537 -7326 729
4338 2452 -536; 1906 -7271 849
5931 1907 -1204; 2921 -7254 1136
7086 227 -817; 2477 -7280 1291
7734 71 -1239; 1700 -7296 1438
8243 1491 -2005; 1511 -7308 1716
8865 1137 -1431; 2220 -7352 1886
10210 -609 -1235; 3578 -7343 2095
10885 -2103 -484; 5088 -7190 2566
11308 -3515 911; 4943 -7046 3158
11216 -3771 272; 2204 -6998 3568
11207 -2808 -1842; -181 -6956 3763
11561 -2386 -1378; 328 -6948 3943
11625 -2718 -152; 1136 -6964 4145
11783 -3848 -960; 707 -6887 4294
12148 -4377 -2258; 72 -6804 4442
12298 -4892 -2232; 201 -6774 4593
10591 -2332 134; 1405 -6544 4925
9201 -649 1635; 1681 -6302 5048
7790 -2700 65; 1497 -5981 5076
6716 -3799 -1275; 628 -5797 5142
6396 -2838 -856; 134 -5652 5146
5867 -3677 -1452; 423 -5272 4952
4374 -3512 -1200; 729 -4939 4804
2746 -2443 -549; 662 -4717 4732
2503 -2669 -1883; 957 -4285 4518
2310 -2788 -1823; 1402 -3857 4281
1778 -2471 -1048; 1399 -3573 4117
1745 -2636 -1601; 1297 -3158 3823
992 -3180 -2230; 995 -2685 3447
48 -2754 -825; 414 -2414 3130
-62 -2792 -375; 175 -2121 2783
-346 -2767 -966; 428 -1717 2414
-725 -2511 -895; 731 -1414 2080
-558 -2922 -1575; 838 -1137 1737
-518 -3107 -2302; 751 -876 1426
-285 -2817 -2212; 506 -689 1140
-294 -3388 -2730; 159 -499 839
-677 -3098 -2540; -193 -377 621
-667 -3270 -2305; -337 -301 430
-494 -3708 -2434; -293 -188 234
-710 -3806 -2264; -150 -91 96
-764 -4005 -2134; -23 -16 -20
-790 -4343 -2212; 23 58 -133
-816 -4358 -2181; 69 114 -193
-786 -4183 -2229; 135 157 -225
-766 -4221 -2360; 193 196 -268
-729 -3997 -2406; 214 215 -290
-726 -3703 -2454; 249 223 -293
-745 -3629 -2492; 323 224 -301
-681 -3504 -2505; 371 219 -303
-682 -3452 -2482; 365 206 -300
-712 -3356 -2450; 240 187 -297
-745 -3353 -2349; -14 160 -297
-762 -3317 -2275; -200 137 -283
-803 -3341 -2251; -265 123 -269
-901 -3398 -2156; -252 106 -257
-1013 -3356 -2098; -207 89 -243
-1095 -3257 -2181; -154 72 -225
-1100 -3258 -2242; -57 56 -211
-993 -3226 -2225; 57 36 -195
-936 -3250 -2231; 125 17 -181
-994 -3381 -2354; 150 -5 -168
-1008 -3373 -2363; 102 -27 -151
-1005 -3377 -2248; 32 -50 -133
-1072 -3362 -2167; -39 -72 -119
-972 -3315 -2081; -119 -90 -105
-932 -3303 -2052; -135 -102 -91
-996 -3319 -2016; -102 -108 -81
-1047 -3327 -1993; -95 -114 -70
-1060 -3278 -1966; -135 -117 -62
-1118 -3335 -2031; -181 -116 -58
-1195 -3337 -2049; -195 -116 -55
-1130 -3281 -2021; -146 -116 -50
-1092 -3275 -2046; -44 -108 -45
-1012 -3249 -2092; 19 -105 -42
-955 -3224 -2093; 22 -103 -40
-892 -3241 -2126; 0 -97 -41
-949 -3219 -2123; -63 -94 -44
-920 -3182 -2057; -152 -91 -50
-964 -3173 -2047; -242 -85 -50
-1121 -3188 -2057; -320 -79 -56
-1168 -3240 -2044; -343 -68 -66
-1121 -3207 -2059; -283 -58 -70
-1077 -3210 -2047; -153 -45 -72
-988 -3238 -2097; -14 -32 -79
-907 -3184 -2191; 44 -20 -83
-890 -3198 -2209; 37 -16 -88
-889 -3172 -2202; -7 -14 -92
-911 -3160 -2216; -102 -12 -95
-911 -3162 -2247; -212 -15 -100
-953 -3218 -2301; -276 -17 -105
-993 -3236 -2326; -257 -14 -106
-1003 -3203 -2296; -167 -11 -109
-957 -3168 -2316; -34 -9 -111
-897 -3104 -2367; 64 -8 -110
-821 -3140 -2352; 75 -9 -115
-883 -3163 -2317; 10 -12 -120
-921 -3150 -2317; -97 -14 -123
-902 -3179 -2249; -199 -18 -128
-875 -3220 -2242; -257 -15 -132
-833 -3186 -2242; -283 -11 -131
-860 -3190 -2235; -253 -8 -133
-890 -3211 -2277; -168 0 -134
-1001 -3173 -2255; -50 6 -133
-1039 -3204 -2328; 47 8 -131
-1071 -3230 -2497; 63 13 -130
-983 -3188 -2519; 15 7 -128
-877 -3215 -2477; -34 -1 -127
-797 -3168 -2479; -88 -2 -125
-830 -3166 -2431; -120 -7 -124
-778 -3153 -2435; -118 -12 -123
-786 -3145 -2467; -85 -12 -124
-882 -3189 -2402; -11 -11 -125
-895 -3163 -2351; 57 -12 -124
-892 -3183 -2362; 89 -9 -125
-965 -3237 -2393; 102 -7 -123
-896 -3206 -2465; 91 -7 -122
-786 -3210 -2464; 79 -5 -121
-770 -3213 -2445; 74 -6 -120
-797 -3145 -2420; 63 -6 -119
-805 -3164 -2425; 60 -3 -120
-811 -3165 -2439; 29 -2 -119
-848 -3164 -2461; -11 -1 -121
-855 -3181 -2461; 0 4 -127
-854 -3156 -2424; 51 7 -128
-828 -3173 -2378; 92 12 -131
-696 -3212 -2402; 111 19 -137
-648 -3156 -2363; 115 24 -141
-712 -3210 -2365; 100 29 -144
-724 -3217 -2415; 52 36 -151
-694 -3205 -2441; 25 39 -154
-701 -3192 -2404; 55 45 -159
-693 -3243 -2444; 91 54 -164
-706 -3211 -2529; 59 59 -171
-706 -3299 -2581; 16 66 -183
-641 -3303 -2556; -4 74 -191
-548 -3300 -2528; -11 82 -206
-476 -3265 -2504; -10 96 -227
-311 -3166 -2410; -51 108 -249
-499 -3047 -2494; -155 128 -280
-713 -3108 -2719; -226 152 -330
-787 -3133 -2752; -161 176 -386
-349 -2914 -2912; 59 219 -452
-250 -2895 -2711; 356 277 -538
-258 -2504 -2356; 464 312 -642
-96 -2313 -1994; 371 352 -778
119 -2148 -1964; 361 448 -903
139 -2084 -1728; 165 518 -1055
93 -2240 -1468; -9 583 -1230
33 -2099 -1789; 47 696 -1369
-54 -2078 -1681; 239 778 -1508
-44 -2131 -1586; 423 837 -1655
-75 -2100 -1843; 555 909 -1768
118 -2360 -1913; 547 939 -1865
442 -2872 -1899; 529 945 -1949
763 -3075 -2037; 554 952 -1975
782 -3575 -2125; 591 934 -1970
578 -4482 -2691; 695 873 -1917
520 -4262 -2042; 825 744 -1752
933 -4878 -1457; 1086 669 -1584
1032 -6870 -2342; 1351 667 -1437
1126 -7619 -2600; 1440 540 -1123
1476 -7521 -2063; 1669 343 -661
1565 -8976 -2609; 1935 225 -205
1521 -9522 -2826; 1846 91 363
1874 -9364 -1992; 1798 -110 1058
1963 -10316 -1708; 2355 -252 1725
2008 -10991 -1663; 3304 -312 2452
2277 -11084 -1225; 4319 -338 3257
2565 -12564 -672; 5641 -253 4015
2920 -14004 -182; 7339 16 4782
3575 -15715 485; 9503 485 5541
4234 -17222 566; 12136 1229 6171
5164 -16204 -53; 14642 2296 6692
6327 -15736 486; 17491 3505 6743
7818 -13498 1764; 18014 4798 6374
8837 -16598 2100; 15716 5953 5703
6217 -5797 3020; 10823 6875 5121
5129 -3945 5211; 5914 7093 4791
1816 -6256 5547; 3577 7085 4320
140 -6942 -341; 3657 7494 3949
-4092 293 -7617; 7025 7814 3758
-2794 577 -6141; 12351 7793 2805
576 -2417 -497; 18183 7859 1127
-450 -106 -4245; 18447 7775 -554
-2860 -1815 -9347; 16325 7309 -2175
-4055 -3718 -7584; 15107 6337 -3554
-3968 -283 -6124; 13359 5222 -4368
-3782 1377 -4965; 11526 4160 -5057
-3944 846 -3327; 11063 3094 -5675
-4043 1727 -4850; 11011 2147 -5999
-3713 1675 -5461; 11199 1162 -6201
-2607 593 -4693; 11994 26 -6316
-913 -627 -4106; 12997 -1041 -6213
1127 -2623 -3239; 13996 -2072 -5893
2996 -5070 -2316; 14603 -3120 -5353
4778 -5660 -2590; 14009 -4040 -4603
6153 -4749 -3324; 12517 -4719 -3739
6540 -3051 -3748; 11076 -5242 -2885
6129 -1702 -3928; 10301 -5643 -2118
5613 -675 -3686; 10615 -5899 -1368
5160 -1019 -3331; 11835 -6047 -524
4523 -2929 -3293; 12980 -6088 349
4102 -3682 -4339; 13325 -5968 1326
3397 -2922 -5873; 12599 -5703 2391
2457 -3075 -6170; 10723 -5461 3255
2057 -2905 -5361; 7811 -5299 3872
2064 -2424 -6306; 5532 -5069 4351
2846 -1862 -6794; 4086 -4881 4712
3978 -1634 -5926; 3266 -4864 4958
4545 -1861 -4341; 3276 -4832 5176
5059 -1570 -3906; 3462 -4634 5457
5348 -1392 -2893; 3071 -4471 5725
5436 -1355 -1928; 2293 -4374 5923
5375 -1038 -1977; 1548 -4239 6106
5923 145 -1806; 1017 -4165 6286
7058 340 -1720; 819 -4130 6406
8381 -1005 -2273; 972 -4041 6499
9757 -2102 -2625; 1135 -3964 6654
10443 -2489 -2993; 1207 -3932 6826
12263 -3045 -2611; 2063 -3823 6995
13312 -2636 -1200; 3911 -3585 7233
13048 -1210 -610; 5942 -3121 7565
12858 -583 -872; 7054 -2479 7891
12390 -1695 390; 6960 -1845 8088
12591 -1909 1614; 5220 -1279 8232
12582 -1975 1227; 2241 -890 8335
12573 -2206 1728; -357 -839 8342
12836 -2528 2237; -831 -907 8335
13052 -3156 2081; 205 -840 8375
12761 -3950 2283; 1501 -683 8394
11864 -3411 2597; 2613 -420 8419
10732 -2352 2443; 3774 7 8440
9682 -1280 3056; 5005 532 8355
9033 227 3012; 5667 1110 8148
8654 -857 3178; 4926 1653 7850
7841 -2798 4473; 3389 1994 7550
6587 -3453 3884; 2024 2232 7294
5439 -3459 2014; 1896 2503 6985
4135 -2463 1413; 2307 2658 6636
3207 -1480 2033; 2336 2660 6240
2485 -1541 1286; 1985 2701 5746
1569 -2080 1058; 1609 2670 5220
848 -2259 1703; 1483 2512 4724
499 -2408 1205; 1531 2390 4219
244 -2720 741; 1346 2243 3689
-22 -2434 1055; 851 1985 3193
-325 -2006 1127; 229 1736 2761
-785 -2274 1544; -240 1495 2337
-1136 -2509 2331; -303 1240 1955
-1071 -2760 2595; 44 1058 1627
-767 -3552 2637; 537 926 1318
-639 -4080 2592; 811 787 1044
-624 -4367 2530; 750 661 814
-571 -4357 2471; 523 559 641
-475 -4149 2567; 298 457 514
-511 -4018 2700; 146 364 383
-548 -3772 2717; 84 292 265
-704 -3608 2818; 74 230 172
-831 -3717 2894; 80 177 81
-754 -3758 2833; 126 142 3
-844 -3790 2769; 175 105 -60
-1079 -4075 2751; 207 71 -124
-1099 -4033 2587; 225 52 -167
-951 -3694 2575; 213 31 -190
-910 -3636 2562; 188 5 -228
-975 -3546 2475; 113 -12 -267
-964 -3344 2465; 10 -31 -291
-926 -3192 2507; -52 -48 -318
-898 -3148 2455; -50 -56 -351
-960 -3220 2458; -37 -64 -374
