-2378 -3065 -927; 186 47 -45
-2442 -2788 -1585; 48 -58 -59
-2447 -2762 -1546; 47 -53 -59
-2418 -2780 -1567; 50 -49 -59
-2430 -2800 -1556; 55 -45 -58
-2427 -2813 -1572; 59 -41 -56
-2408 -2830 -1568; 58 -38 -54
-2417 -2833 -1557; 61 -33 -53
-2424 -2829 -1558; 75 -28 -50
-2426 -2809 -1569; 88 -24 -48
-2417 -2796 -1574; 85 -22 -46
-2416 -2790 -1575; 75 -20 -44
-2392 -2799 -1596; 71 -17 -41
-2381 -2782 -1580; 74 -16 -39
-2388 -2791 -1586; 79 -16 -38
-2376 -2805 -1597; 82 -15 -35
-2386 -2784 -1574; 70 -15 -34
-2389 -2783 -1578; 64 -16 -32
-2408 -2776 -1557; 62 -16 -30
-2383 -2784 -1559; 58 -17 -31
-2404 -2791 -1555; 51 -17 -29
-2382 -2805 -1563; 42 -17 -27
-2342 -2839 -1582; 34 -22 -24
-2370 -2858 -1568; 25 -24 -22
-2392 -2859 -1572; 16 -28 -19
-2424 -2865 -1542; 5 -33 -18
-2434 -2882 -1550; -9 -40 -13
-2511 -2934 -1587; -44 -49 -12
-2545 -2987 -1593; -145 -65 -14
-2499 -3035 -1701; -298 -85 -18
-2507 -3103 -1806; -428 -111 -19
-2463 -3355 -1837; -508 -146 -25
-2397 -3479 -2003; -580 -192 -30
-2390 -3635 -2278; -648 -248 -39
-2302 -3724 -2436; -615 -317 -53
-2220 -3740 -2611; -450 -385 -69
-2338 -3851 -2780; -183 -465 -95
-2415 -3984 -2806; 143 -561 -129
-2443 -4007 -2970; 519 -646 -167
-2428 -3947 -2861; 875 -741 -216
-2493 -3809 -2662; 1135 -832 -280
-2714 -3605 -2697; 1351 -898 -349
-2700 -3509 -2206; 1520 -969 -434
-2535 -3452 -1727; 1619 -1021 -536
-2471 -3364 -1188; 1699 -1017 -649
-2686 -3379 -631; 1817 -988 -779
-2580 -3226 -240; 1930 -958 -920
-2224 -3299 530; 2028 -933 -1072
-2530 -3244 1707; 2044 -842 -1226
-2331 -3213 1231; 2026 -495 -1381
-2484 -3100 1547; 2010 -267 -1553
-2098 -3181 1961; 1943 -56 -1730
-1927 -3404 1856; 1657 203 -1909
-1639 -3641 1659; 1180 468 -2080
-1181 -4102 1459; 670 729 -2233
-816 -4516 986; 387 1018 -2352
-677 -4730 451; 430 1308 -2428
-494 -4865 174; 662 1537 -2486
-210 -4846 -205; 899 1738 -2528
-18 -4724 -548; 1080 1909 -2557
-22 -4566 -781; 1133 2033 -2582
-107 -4383 -1009; 1029 2121 -2596
-57 -4173 -1269; 771 2184 -2600
51 -4037 -1368; 398 2205 -2596
202 -3924 -1598; 0 2203 -2581
403 -3905 -1807; -258 2200 -2555
520 -3869 -2023; -337 2184 -2521
433 -3860 -2180; -289 2133 -2490
298 -3792 -2235; -187 2037 -2464
217 -3636 -2241; -65 1936 -2438
86 -3547 -2244; 58 1828 -2422
43 -3383 -2191; 151 1708 -2408
51 -3214 -2242; 150 1575 -2397
93 -3211 -2287; 60 1439 -2392
159 -3073 -2240; -35 1288 -2381
157 -3047 -2078; -146 1128 -2367
170 -3077 -2019; -251 976 -2356
133 -2999 -1987; -364 835 -2335
142 -2907 -1911; -499 694 -2313
141 -2820 -1824; -667 554 -2292
184 -2712 -1778; -763 425 -2259
277 -2688 -1733; -803 300 -2226
346 -2718 -1739; -846 175 -2196
395 -2688 -1755; -906 58 -2157
441 -2724 -1664; -962 -55 -2115
496 -2691 -1621; -1038 -165 -2070
510 -2585 -1631; -1190 -273 -2026
555 -2482 -1553; -1348 -377 -1980
641 -2413 -1554; -1388 -466 -1926
741 -2396 -1611; -1403 -554 -1874
812 -2420 -1686; -1415 -641 -1822
916 -2358 -1772; -1403 -724 -1764
972 -2355 -1785; -1377 -809 -1702
1047 -2322 -1830; -1388 -896 -1641
1110 -2289 -1882; -1406 -981 -1573
1144 -2256 -1946; -1431 -1060 -1501
1286 -2270 -2087; -1560 -1138 -1432
1353 -2371 -2249; -1736 -1240 -1359
1495 -2482 -2468; -1841 -1329 -1266
1554 -2410 -2542; -2027 -1411 -1164
1528 -2502 -2343; -2340 -1515 -1073
1608 -2723 -2210; -2475 -1598 -987
1649 -2670 -2287; -2421 -1634 -887
1567 -2995 -2137; -2330 -1675 -788
1536 -3424 -1914; -2279 -1722 -671
1518 -3668 -1807; -2150 -1750 -508
1529 -3569 -1731; -1922 -1768 -315
1598 -3913 -1832; -1715 -1784 -135
1604 -4253 -1863; -1496 -1801 52
1564 -4276 -1789; -1186 -1817 283
1559 -4259 -1926; -799 -1819 530
1610 -4246 -2059; -365 -1818 782
1662 -4033 -2214; -21 -1818 1042
1669 -3968 -2415; 286 -1811 1296
1608 -3887 -2574; 578 -1801 1546
1584 -3844 -2662; 848 -1796 1792
1595 -3865 -2804; 1104 -1785 2028
1662 -3805 -2988; 1324 -1772 2255
1913 -3687 -3256; 1542 -1751 2474
1961 -3505 -3442; 1652 -1723 2671
1669 -3524 -3294; 1650 -1700 2851
1326 -3415 -3197; 1587 -1694 3019
1199 -3506 -3240; 1578 -1680 3167
1172 -3644 -3188; 1643 -1655 3296
1084 -3515 -3384; 1686 -1623 3426
887 -3565 -3339; 1621 -1604 3515
795 -3755 -3480; 1482 -1599 3581
823 -3577 -3556; 1496 -1583 3643
420 -3065 -3241; 1675 -1552 3662
-180 -3465 -2971; 1774 -1508 3603
-427 -5066 -3813; 1788 -1447 3552
-852 -2092 -3435; 1844 -1434 3706
-1024 -2060 -2919; 2028 -1420 3732
-1084 -3724 -3623; 1889 -1388 3493
-1483 -2004 -3042; 1640 -1384 3445
-1580 -2104 -2887; 1564 -1365 3314
-1909 -2845 -2858; 1516 -1341 3014
-2334 -1691 -2119; 1537 -1326 2853
-2549 -1346 -2108; 1526 -1224 2686
-2374 -814 -2409; 1440 -1114 2513
-2577 -617 -2073; 1572 -1166 2222
-2421 -666 -1916; 1772 -1175 1855
-2222 -1022 -1600; 2007 -1227 1346
-2218 -1230 -1438; 2327 -1244 988
-2441 -1879 -1315; 2574 -1213 696
-2586 -1803 -891; 2392 -1180 533
-2684 -1858 -864; 1687 -1081 437
-2839 -1958 -778; 661 -988 318
-2982 -2189 -917; -395 -1016 94
-3259 -3072 20; -1030 -1153 -137
-3197 -3306 35; -1223 -1040 -177
-2995 -3385 -916; -1019 -722 -236
-2902 -3558 -1159; -605 -614 -324
-2795 -3709 -1053; -249 -627 -413
-2714 -3629 -1433; -91 -561 -448
-2665 -3643 -1346; -67 -500 -472
-2563 -3758 -1132; -112 -463 -493
-2498 -3717 -1051; -137 -404 -497
-2496 -3666 -839; -110 -350 -491
-2491 -3697 -715; -73 -298 -485
-2443 -3561 -764; -4 -237 -468
-2452 -3515 -805; 109 -181 -450
-2433 -3475 -981; 187 -134 -435
-2374 -3374 -1150; 200 -94 -415
-2366 -3359 -1241; 172 -66 -401
-2389 -3212 -1354; 149 -45 -388
-2387 -3107 -1369; 160 -28 -373
-2348 -3057 -1390; 133 -22 -365
-2280 -2992 -1391; 38 -22 -357
-2276 -2960 -1376; -68 -21 -355
-2305 -2941 -1364; -144 -23 -353
-2332 -2927 -1287; -192 -26 -354
-2371 -2915 -1317; -164 -22 -355
-2339 -2907 -1304; -72 -21 -353
-2335 -2901 -1298; 0 -22 -355
-2349 -2901 -1297; 46 -20 -356
-2383 -2887 -1282; 74 -21 -356
-2373 -2899 -1235; 64 -25 -359
-2388 -2884 -1217; 17 -29 -361
-2419 -2886 -1183; -62 -31 -359
-2446 -2903 -1172; -158 -36 -359
-2455 -2935 -1135; -231 -39 -358
-2483 -2974 -1158; -247 -38 -351
-2449 -3065 -1189; -220 -38 -345
-2377 -3088 -1257; -159 -40 -334
-2338 -3086 -1310; -99 -40 -319
-2355 -3117 -1273; -61 -44 -309
-2331 -3074 -1271; -55 -50 -295
-2345 -3107 -1247; -60 -57 -280
-2368 -3133 -1199; -63 -63 -265
-2378 -3133 -1181; -78 -67 -249
-2380 -3134 -1162; -87 -71 -232
-2373 -3148 -1129; -89 -75 -216
-2375 -3164 -1182; -82 -77 -199
-2367 -3161 -1188; -50 -76 -182
-2350 -3157 -1177; -2 -78 -167
-2342 -3135 -1199; 44 -78 -152
-2314 -3111 -1136; 73 -79 -136
-2322 -3102 -1136; 79 -79 -122
-2326 -3037 -1101; 55 -78 -111
-2303 -3032 -1068; 16 -77 -101
-2269 -3013 -1071; 0 -74 -93
-2309 -2983 -1022; 20 -68 -83
-2328 -3018 -1034; 42 -62 -78
-2320 -3038 -1017; 54 -55 -72
-2311 -3090 -994; 71 -47 -64
-2303 -3108 -1002; 99 -38 -57
-2261 -3084 -1035; 135 -29 -49
-2296 -3118 -1083; 169 -19 -43
-2329 -3102 -1086; 199 -11 -35
-2326 -3075 -1085; 201 -5 -27
-2308 -3079 -1101; 159 -1 -23
-2275 -3083 -1101; 111 -1 -17
-2246 -3093 -1121; 87 5 -14
-2274 -3103 -1047; 95 9 -9
-2281 -3099 -1085; 133 14 -4
-2289 -3104 -1060; 189 24 -1
-2284 -3093 -1030; 236 27 3
-2282 -3107 -1055; 251 37 6
-2280 -3098 -1015; 236 42 9
-2283 -3073 -1012; 199 46 9
-2302 -3055 -1030; 157 51 8
-2295 -3071 -1022; 117 56 7
-2295 -3060 -1060; 93 60 6
-2287 -3068 -1056; 105 67 4
-2312 -3065 -1066; 130 74 2
-2329 -3061 -1066; 142 77 1
-2340 -3040 -1068; 148 80 -1
-2339 -3039 -1086; 145 82 -4
-2285 -3031 -1114; 137 82 -8
-2262 -3019 -1156; 120 78 -11
-2257 -3004 -1182; 100 76 -16
-2259 -3018 -1163; 84 75 -21
-2286 -3048 -1195; 82 69 -26
-2294 -3043 -1164; 89 64 -30
-2305 -3044 -1152; 96 58 -33
-2318 -3065 -1160; 108 57 -37
-2319 -3068 -1138; 111 51 -39
-2303 -3078 -1138; 101 47 -43
-2356 -3060 -1139; 86 45 -45
-2342 -3081 -1114; 64 37 -47
-2303 -3080 -1103; 54 37 -51
-2306 -3100 -1121; 70 38 -53
-2310 -3107 -1090; 92 33 -54
-2326 -3100 -1104; 110 33 -57
-2345 -3066 -1112; 123 36 -57
-2334 -3057 -1120; 123 30 -58
-2323 -3036 -1168; 113 28 -59
-2295 -3065 -1167; 106 24 -60
-2271 -3078 -1192; 92 21 -62
-2288 -3066 -1176; 84 17 -63
-2314 -3071 -1117; 103 13 -64
-2371 -3094 -1101; 127 11 -64
-2349 -3051 -1103; 139 11 -64
-2329 -3071 -1100; 122 10 -67
-2310 -3053 -1116; 94 8 -66
-2292 -3068 -1115; 70 7 -67
-2287 -3045 -1093; 62 4 -68
-2275 -3024 -1100; 72 6 -70
-2298 -3022 -1064; 98 7 -70
-2305 -3061 -1065; 114 7 -73
-2273 -3041 -1088; 105 11 -74
-2266 -3071 -1073; 83 11 -77
-2268 -3071 -1058; 64 13 -78
-2260 -3099 -1064; 48 14 -78
-2247 -3095 -1050; 50 19 -81
-2258 -3081 -1033; 79 25 -81
-2267 -3134 -1012; 120 32 -82
-2272 -3120 -1021; 136 39 -81
-2247 -3169 -996; 121 44 -82
-2230 -3166 -1041; 102 50 -81
-2199 -3174 -1055; 87 55 -78
-2184 -3182 -1066; 87 59 -75
-2158 -3141 -1057; 99 64 -72
-2230 -3147 -1031; 123 70 -69
-2254 -3149 -1038; 136 76 -66
-2219 -3148 -998; 148 80 -63
-2225 -3155 -1037; 145 84 -61
-2192 -3147 -1092; 119 88 -57
-2172 -3148 -1121; 92 90 -55
-2177 -3164 -1143; 81 89 -52
-2177 -3193 -1149; 85 89 -47
-2182 -3163 -1148; 101 89 -42
-2216 -3179 -1144; 132 88 -39
-2215 -3143 -1148; 150 86 -36
-2224 -3155 -1181; 153 84 -32
-2243 -3132 -1171; 165 83 -28
-2232 -3102 -1195; 151 80 -24
-2190 -3099 -1246; 120 76 -25
-2175 -3065 -1227; 122 72 -22
-2181 -3060 -1247; 147 69 -21
-2193 -3075 -1248; 170 67 -23
-2207 -3053 -1229; 199 64 -22
-2217 -3056 -1197; 224 61 -23
-2250 -3071 -1206; 213 59 -23
-2270 -3047 -1174; 190 57 -24
-2257 -3057 -1223; 166 56 -25
-2223 -3077 -1238; 130 54 -27
-2225 -3084 -1287; 111 55 -28
-2213 -3086 -1270; 108 56 -28
-2213 -3113 -1267; 112 54 -30
-2249 -3123 -1274; 130 55 -30
-2205 -3146 -1287; 153 54 -29
-2170 -3143 -1310; 166 56 -31
-2196 -3127 -1316; 182 56 -32
-2208 -3107 -1310; 227 58 -33
-2193 -3119 -1272; 268 58 -34
-2213 -3081 -1251; 271 60 -38
-2246 -3095 -1230; 217 60 -41
-2223 -3097 -1238; 158 60 -44
-2184 -3114 -1246; 123 60 -47
-2172 -3147 -1271; 115 60 -51
-2175 -3134 -1310; 103 60 -54
-2164 -3146 -1285; 105 59 -57
-2186 -3152 -1288; 135 60 -59
-2214 -3165 -1294; 167 60 -61
-2213 -3177 -1320; 155 56 -63
-2214 -3220 -1317; 110 52 -65
-2232 -3231 -1342; 63 50 -65
-2229 -3257 -1312; 34 45 -67
-2225 -3258 -1289; 19 43 -66
-2180 -3285 -1251; 9 41 -65
-2176 -3290 -1235; 1 39 -64
-2161 -3277 -1180; -19 37 -61
-2203 -3270 -1440; -84 34 -60
-2220 -3282 -1432; -122 29 -58
-2154 -3279 -1361; -33 23 -54
-2107 -3237 -1311; 1 18 -50
-2139 -3250 -1317; 19 10 -46
-2124 -3217 -1338; 58 7 -43
-2120 -3196 -1307; 93 1 -39
-2101 -3163 -1269; 94 -8 -39
-2110 -3169 -1285; 65 -15 -36
-2111 -3165 -1246; 55 -21 -35
-2131 -3152 -1222; 54 -27 -36
-2110 -3155 -1222; 45 -32 -36
-2090 -3128 -1182; 39 -38 -35
-2091 -3144 -1215; 37 -39 -37
-2118 -3156 -1135; 41 -39 -39
-2118 -3133 -1098; 64 -42 -42
-2078 -3090 -1105; 80 -40 -44
-2075 -3089 -1119; 99 -40 -49
-2079 -3058 -1115; 105 -38 -56
-2096 -3035 -1125; 103 -38 -62
-2103 -3061 -1084; 75 -35 -71
-2164 -3072 -1065; 29 -35 -81
-2178 -3078 -1023; 9 -33 -87
-2188 -3115 -999; 18 -28 -95
-2193 -3131 -1011; 18 -21 -102
-2193 -3121 -1043; 16 -15 -108
-2162 -3131 -1127; 18 -13 -113
-2124 -3135 -1133; 21 -11 -118
-2094 -3149 -1156; 22 -10 -122
-2104 -3195 -1156; 14 -8 -126
-2119 -3194 -1137; 0 -10 -128
-2113 -3170 -1114; -10 -10 -131
-2139 -3150 -1070; 1 -8 -133
-2124 -3138 -1035; 22 -8 -133
-2125 -3147 -1107; 39 -4 -137
-2111 -3118 -1126; 41 -2 -137
-2093 -3145 -1124; 35 -2 -140
-2088 -3171 -1153; 17 -3 -143
-2073 -3186 -1144; 7 -6 -143
-2073 -3194 -1149; 15 -5 -143
-2101 -3142 -1105; 24 -5 -145
-2114 -3128 -1099; 28 -6 -145
-2136 -3096 -1106; 35 -4 -145
-2147 -3118 -1149; 35 -4 -146
-2117 -3161 -1176; 30 -5 -148
-2091 -3169 -1222; 34 -4 -149
-2078 -3172 -1236; 58 -5 -148
-2074 -3153 -1208; 69 -6 -148
-2088 -3110 -1242; 72 -6 -147
-2080 -3092 -1179; 69 -8 -146
-2112 -3079 -1128; 57 -7 -146
-2127 -3094 -1147; 51 -2 -147
-2130 -3096 -1105; 58 2 -149
-2087 -3076 -1135; 76 7 -150
-2049 -3058 -1155; 107 12 -148
-2010 -3050 -1200; 141 14 -147
-2005 -2985 -1253; 145 16 -150
-1999 -2968 -1281; 137 16 -153
-2014 -2980 -1255; 109 13 -156
-2027 -2997 -1269; 78 12 -160
-2033 -3031 -1274; 80 13 -162
-2045 -3060 -1287; 105 12 -164
-2048 -3083 -1334; 141 13 -164
-2006 -3099 -1346; 183 10 -165
-1972 -3074 -1385; 201 9 -164
-1987 -3049 -1365; 190 7 -166
-1990 -3014 -1315; 153 2 -168
-1968 -2994 -1242; 119 -2 -169
-1976 -3006 -1231; 100 -2 -172
-1978 -2991 -1223; 83 0 -175
-1952 -2997 -1191; 67 3 -181
-1933 -3029 -1197; 62 8 -186
-1935 -3014 -1197; 58 12 -187
-1912 -3078 -1191; 55 16 -191
-1907 -3043 -1195; 30 20 -196
-1878 -3033 -1189; -2 22 -198
-1869 -3093 -1215; -42 25 -203
-1832 -3090 -1238; -102 26 -207
-1823 -3127 -1255; -146 26 -209
-1786 -3150 -1235; -159 26 -212
-1762 -3130 -1221; -145 25 -215
-1761 -3124 -1231; -73 29 -217
-1784 -3095 -1213; 52 35 -220
-1801 -3003 -1207; 140 41 -224
-1827 -3021 -1183; 107 38 -231
-1830 -3038 -1198; -37 34 -239
-1798 -3089 -1187; -181 32 -246
-1743 -3149 -1164; -271 32 -252
-1835 -3170 -1329; -324 35 -258
-1842 -3122 -1322; -255 39 -263
-1819 -3043 -1369; -196 40 -264
-1827 -3090 -1414; -199 40 -272
-1894 -3085 -1412; -246 37 -280
-1977 -3079 -1415; -296 35 -286
-2085 -3132 -1389; -292 34 -294
-2110 -3140 -1446; -244 34 -298
-2077 -3149 -1467; -157 37 -301
-2006 -3155 -1453; -87 36 -304
-1948 -3175 -1492; -104 37 -306
-1887 -3174 -1465; -146 34 -309
-1894 -3173 -1467; -136 33 -308
-1934 -3160 -1450; -79 34 -308
-1894 -3178 -1406; -27 34 -309
-1832 -3154 -1415; -1 33 -309
-1821 -3212 -1454; 10 31 -310
-1751 -3251 -1519; -7 31 -309
-1713 -3218 -1545; -25 31 -306
-1689 -3238 -1457; -3 27 -304
-1691 -3192 -1433; 37 24 -302
-1625 -3117 -1421; 71 23 -300
-1609 -3080 -1467; 39 22 -302
-1605 -3099 -1472; -63 20 -308
-1614 -3197 -1460; -138 19 -313
-1644 -3294 -1513; -162 20 -316
-1665 -3310 -1517; -137 25 -314
-1719 -3393 -1538; -55 33 -314
-1719 -3410 -1462; 14 38 -313
-1689 -3405 -1532; 21 45 -311
-1684 -3411 -1552; 13 51 -310
-1662 -3430 -1495; 27 54 -308
-1635 -3418 -1600; 26 65 -307
-1592 -3355 -1622; 19 72 -307
-1528 -3330 -1559; 56 78 -310
-1426 -3323 -1551; 109 83 -308
-1384 -3352 -1587; 121 92 -312
-1428 -3395 -1600; 84 100 -316
-1417 -3391 -1582; 84 105 -317
-1353 -3408 -1534; 134 109 -319
-1343 -3387 -1612; 148 118 -319
-1356 -3429 -1624; 139 121 -321
-1354 -3473 -1578; 152 122 -324
-1318 -3435 -1535; 198 125 -321
-1295 -3428 -1499; 240 128 -324
-1299 -3410 -1552; 209 125 -325
-1298 -3439 -1625; 147 124 -328
-1366 -3469 -1607; 80 121 -331
-1401 -3474 -1591; 83 117 -332
-1346 -3486 -1581; 165 113 -332
-1285 -3518 -1583; 262 109 -333
-1169 -3492 -1729; 287 102 -331
-1125 -3512 -1799; 224 91 -332
-1117 -3550 -1710; 171 76 -333
-1115 -3534 -1646; 183 62 -331
-1091 -3499 -1582; 216 51 -328
-1093 -3470 -1574; 233 42 -326
-1101 -3516 -1597; 233 32 -327
-1092 -3550 -1589; 245 26 -325
-1169 -3567 -1561; 256 25 -323
-1230 -3579 -1415; 252 23 -322
-1245 -3580 -1369; 207 22 -319
-1261 -3591 -1309; 110 28 -318
-1284 -3613 -1348; 11 33 -318
-1361 -3597 -1416; -9 43 -313
-1360 -3633 -1521; 118 54 -311
-1267 -3600 -1643; 273 68 -307
-1258 -3543 -1521; 383 81 -304
-1231 -3579 -1236; 448 83 -304
-1157 -3516 -1277; 465 90 -303
-1096 -3498 -1421; 422 99 -302
-1011 -3561 -1418; 340 98 -306
-896 -3578 -1580; 242 100 -305
-861 -3746 -1752; 178 100 -303
-881 -3813 -1705; 180 98 -303
-925 -3768 -1556; 225 100 -296
-902 -3861 -1416; 278 105 -291
-818 -3881 -1473; 309 110 -286
-702 -3895 -1610; 319 119 -281
-672 -3970 -1679; 348 125 -279
-701 -3919 -1712; 373 130 -271
-695 -4065 -1694; 352 130 -265
-660 -4148 -1579; 302 131 -264
-622 -4165 -1612; 353 136 -253
-512 -4235 -1608; 480 141 -242
-440 -4240 -1667; 554 145 -232
-353 -4156 -1686; 528 147 -222
-335 -4133 -1685; 422 147 -215
-359 -4086 -1488; 392 152 -206
-425 -4031 -1303; 438 161 -198
-526 -4063 -1277; 401 174 -195
-552 -4066 -1263; 304 187 -190
-520 -4123 -1318; 229 201 -186
-576 -4084 -1376; 163 218 -183
-582 -4023 -1389; 112 232 -177
-630 -4152 -1593; 18 242 -176
-630 -4346 -1828; -180 255 -163
-613 -4494 -1869; -198 258 -157
-566 -4500 -1812; -226 263 -144
-479 -4468 -1713; -241 269 -130
-362 -4341 -1627; -216 280 -119
-252 -4103 -1552; -111 295 -104
-132 -4004 -1462; -68 307 -99
2 -3978 -1462; -95 320 -99
45 -3891 -1390; -65 334 -93
80 -3870 -1194; 58 351 -95
84 -3760 -1146; 103 368 -99
103 -3684 -998; 16 383 -105
142 -3608 -811; -14 404 -111
153 -3549 -765; 39 430 -117
173 -3529 -763; 44 458 -127
324 -3361 -985; -28 481 -137
362 -3547 -1150; -75 495 -145
380 -3823 -861; -123 500 -150
307 -3920 -1249; -85 534 -144
110 -3926 -799; 0 531 -138
-21 -3957 -1052; -8 536 -132
-229 -3844 -1198; -29 552 -115
-379 -3685 -921; -11 537 -103
-465 -3653 -1020; -57 534 -96
-486 -3601 -1124; -138 530 -86
-336 -3745 -1338; -178 515 -71
-81 -4071 -1652; -176 509 -58
-181 -4177 -1524; -122 491 -36
-233 -4304 -1633; -106 467 -6
-126 -4147 -1856; -63 455 25
-53 -3869 -1695; -98 432 58
-60 -3687 -1513; -284 406 86
-140 -3448 -1536; -481 391 109
-173 -3436 -1545; -457 381 124
-230 -3387 -1615; -175 376 142
-178 -3422 -1640; 189 377 159
-90 -3526 -1627; 404 369 167
-113 -3526 -1578; 412 354 176
-173 -3600 -1549; 335 334 187
-213 -3663 -1516; 239 310 199
-220 -3714 -1473; 215 290 214
-272 -3824 -1450; 278 276 228
-302 -3918 -1413; 253 252 242
-293 -3845 -1415; 79 227 260
-317 -3921 -1333; -74 202 274
-376 -4165 -1322; -128 180 286
-412 -4431 -1451; -227 156 296
-417 -4688 -1586; -442 123 300
-473 -5154 -1848; -583 90 287
-440 -5051 -2047; -606 68 280
-332 -4666 -2054; -576 43 269
-239 -4313 -1946; -554 15 231
-255 -3804 -1775; -547 -7 185
-222 -3433 -1773; -530 -18 127
-183 -3135 -1828; -482 -18 61
-187 -3033 -1805; -394 -21 -2
-221 -3063 -1884; -297 -13 -58
-282 -3039 -1860; -254 -8 -101
-348 -3125 -1697; -290 -7 -136
-446 -3010 -1670; -358 -3 -162
-460 -2964 -1641; -380 9 -179
-503 -3033 -1675; -306 24 -194
-538 -2984 -1605; -262 36 -204
-517 -3092 -1672; -227 52 -211
-506 -3269 -1764; -186 70 -219
-483 -3377 -1660; -120 82 -225
-500 -3663 -1939; 46 103 -228
-370 -3657 -1950; -40 115 -228
-385 -3527 -1939; -148 114 -228
-341 -3556 -2014; -121 125 -230
-315 -3567 -1900; -61 136 -231
-329 -3588 -1792; -14 144 -232
-323 -3624 -1785; 63 157 -230
-304 -3716 -1808; 156 167 -223
-297 -3788 -1779; 242 173 -217
-118 -3598 -1718; 290 182 -208
-27 -3375 -1714; 489 184 -198
-212 -4063 -2360; 714 187 -193
155 -4452 -2291; 643 176 -187
101 -4050 -2145; 452 142 -161
-59 -3904 -1929; 333 111 -148
-64 -3712 -1824; 329 88 -129
-21 -3799 -1855; 340 67 -111
-78 -3835 -1766; 278 38 -104
-156 -3701 -1852; 174 13 -87
-160 -3644 -1800; 133 -12 -74
-125 -3659 -1736; 105 -37 -67
-131 -3612 -1832; -7 -61 -58
-135 -3683 -1858; -182 -87 -57
-165 -3724 -1887; -326 -108 -57
-150 -3673 -1884; -369 -119 -54
-145 -3691 -1889; -368 -121 -57
-144 -3590 -1944; -423 -127 -59
-159 -3568 -1939; -530 -134 -63
-125 -3541 -2034; -600 -126 -68
-171 -3469 -2040; -571 -120 -73
-197 -3336 -2146; -462 -109 -75
-182 -3298 -2140; -345 -95 -81
-132 -3322 -2015; -306 -85 -89
-164 -3315 -2199; -399 -74 -96
-238 -3322 -2284; -405 -68 -101
-247 -3432 -2369; -280 -57 -106
-204 -3454 -2229; -150 -46 -108
-276 -3524 -2022; -92 -43 -109
-288 -3616 -2002; -89 -37 -109
-280 -3680 -1895; -92 -31 -101
-309 -3651 -2029; -136 -25 -92
-237 -3552 -2141; -215 -24 -83
-153 -3498 -2214; -226 -28 -74
-78 -3440 -2332; -135 -26 -62
-81 -3448 -2254; 1 -33 -54
-107 -3419 -2196; 126 -40 -46
-114 -3521 -2093; 246 -43 -35
-88 -3692 -1930; 327 -47 -25
-121 -3686 -1912; 314 -50 -11
-297 -3199 -1656; 199 -55 1
-367 -3559 -340; 144 -47 -5
-563 -4352 -284; 117 28 2
-369 -3966 -1574; -125 28 10
-325 -3854 -2302; -562 39 2
-271 -3373 -2488; -833 55 3
-169 -3125 -2360; -826 55 1
-67 -3155 -2446; -731 60 -14
-18 -3272 -2380; -623 52 -29
10 -3320 -2435; -548 41 -37
96 -3418 -2566; -498 28 -41
126 -3464 -2478; -471 3 -38
28 -3415 -2513; -468 -24 -29
-86 -2576 -2383; -524 -46 -21
139 -3138 -1988; -679 -77 -47
197 -3339 -2303; -899 -99 -45
133 -3873 -2299; -1060 -115 -48
-58 -3701 -2415; -1012 -126 -37
-247 -2936 -2055; -1520 -154 -33
62 -2795 -2845; -1762 -134 -31
-149 -2841 -2506; -1832 -141 -46
47 -2418 -3416; -1699 -125 -49
-227 -2273 -3166; -1502 -129 -65
-342 -2285 -3111; -1214 -131 -83
-347 -2593 -2939; -956 -116 -97
-394 -2759 -2926; -778 -105 -101
-377 -2888 -3307; -715 -97 -108
-292 -2863 -3137; -760 -113 -118
-269 -2532 -3219; -762 -135 -127
-135 -2324 -3334; -560 -85 -104
-177 -2402 -3176; -363 -98 -118
-232 -2622 -2576; -267 -158 -139
-198 -2652 -3129; -179 -90 -109
-205 -2759 -3188; -149 -42 -97
-187 -2750 -3139; -98 -40 -89
-177 -2712 -3162; 2 -44 -77
-231 -2734 -3085; 86 -41 -67
-172 -2739 -3232; 85 -48 -57
-234 -2595 -2976; 39 -63 -48
-233 -2905 -3247; -6 -65 -37
-208 -2689 -2998; -27 -81 -24
-122 -2633 -3305; -40 -94 -11
-86 -2575 -3341; -53 -103 -7
68 -2695 -2798; -36 -108 1
-27 -2531 -3296; -169 -82 14
-13 -2706 -3095; -327 -106 6
-321 -2565 -3149; -529 -188 -3
-261 -2553 -2798; -555 -152 1
-326 -2503 -2966; -565 -127 -6
-477 -2342 -3203; -631 -115 -19
-225 -2416 -3023; -514 -108 -31
-296 -2178 -3292; -241 -91 -39
-68 -2312 -3283; -74 -59 -49
309 -2177 -3125; -116 -56 -59
-972 -2024 -3222; -243 -14 -77
-415 -1939 -4058; -131 80 -80
191 -2646 -2971; -5 112 -85
-481 -2278 -3294; -208 -33 -100
-366 -2632 -2998; -240 -54 -104
272 -2586 -3254; -137 92 -95
-337 -2269 -3853; 115 47 -91
111 -2302 -3800; 452 11 -93
-348 -2561 -2831; 343 -114 -103
62 -2392 -3458; 196 -177 -70
-48 -2725 -2980; 81 2 -73
-162 -2535 -3436; -223 -7 -73
-137 -2571 -3346; -344 -17 -63
-210 -2489 -3275; -630 -122 -73
-75 -2429 -3246; -902 -163 -73
-91 -2287 -3326; -1181 -165 -71
-122 -2313 -3363; -1466 -165 -76
-178 -2283 -3476; -1730 -159 -88
