1780 -542 -3530; 19 -67 -15
3911 -492 977; -364 -199 270
4016 -831 1202; -350 -148 380
3982 -1259 1419; -331 -128 434
3967 -1425 1756; -311 -142 422
4033 -1453 1878; -284 -221 365
4118 -1557 1757; -300 -347 312
4235 -1826 1421; -340 -480 272
4333 -2044 964; -391 -573 205
4348 -2091 639; -403 -581 101
4313 -1964 766; -383 -495 -23
4198 -1633 1107; -345 -398 -149
4027 -1486 1261; -357 -381 -231
3891 -1434 1354; -388 -438 -270
3728 -1196 1147; -419 -558 -326
3629 -779 777; -421 -683 -378
3667 -646 468; -391 -769 -350
3766 -695 16; -354 -834 -262
3754 -804 -616; -369 -892 -211
3822 -972 -1247; -470 -880 -194
3737 -1164 -1641; -603 -790 -178
3650 -1046 -1671; -749 -619 -186
3570 -863 -1228; -826 -426 -181
3686 -976 -1012; -871 -368 -90
3815 -1324 -1321; -942 -483 8
3918 -1546 -1588; -1070 -599 15
3888 -1750 -1705; -1278 -643 -57
3937 -1639 -2025; -1584 -738 -219
4030 -1537 -2770; -1896 -863 -367
4118 -1297 -3438; -2155 -959 -481
4241 -807 -4397; -2198 -1037 -537
4454 -54 -5205; -2063 -1012 -489
4557 156 -5886; -1901 -762 -253
4538 -475 -5877; -1924 -232 126
4505 -1410 -5046; -1996 337 462
4500 -2123 -4569; -2123 628 578
4529 -2592 -5251; -2272 635 513
4453 -2523 -6306; -2396 605 354
4235 -2165 -6904; -2543 775 195
3889 -1867 -7122; -2666 1212 127
3572 -1896 -6401; -2635 1836 180
3186 -2051 -5081; -2575 2422 243
2813 -2107 -3885; -2632 2802 255
2430 -2384 -3156; -2884 2988 214
1973 -2581 -2577; -3203 3046 122
1521 -2591 -2213; -3570 3033 -30
1006 -2577 -2084; -3918 3001 -165
399 -2418 -1817; -4112 3006 -246
-164 -2158 -1398; -4349 3097 -292
-733 -2252 -789; -4644 3281 -238
-1211 -2558 -42; -4988 3512 -114
-1480 -2947 2020; -5351 3706 23
-1399 -3561 3495; -5460 3529 210
-1227 -4464 4086; -5437 3038 448
-1235 -5599 4244; -5210 2555 680
-1189 -6300 4616; -4916 2233 781
-1098 -6343 5247; -4569 2076 743
-1063 -6222 5943; -4063 1995 726
-1061 -6575 6974; -3340 1930 880
-881 -7173 8152; -2482 1830 1099
-641 -7285 9413; -1773 1661 1184
-729 -7501 10319; -1258 1375 1104
-513 -7030 10945; -911 931 836
-381 -6022 10923; -762 343 480
-105 -4897 10075; -699 -331 198
-31 -4191 8640; -536 -929 125
427 -3954 7310; -167 -1355 284
784 -3679 6424; 216 -1515 486
1080 -3764 6255; 588 -1465 684
1236 -4441 5945; 917 -1446 912
1418 -5075 5515; 1200 -1555 1051
1563 -5738 5279; 1286 -1616 1048
1528 -6940 5059; 1207 -1619 991
1563 -7911 4748; 1177 -1669 870
1543 -7842 4419; 1216 -1701 571
1582 -7144 4558; 1290 -1641 259
1396 -7146 5072; 1546 -1572 208
877 -8032 5368; 1912 -1619 382
372 -9243 4706; 2249 -1826 548
-95 -10504 3990; 2659 -2058 618
-806 -11077 4218; 3068 -2147 555
-1702 -11341 4871; 3267 -2184 336
-2376 -11113 5802; 3309 -2390 31
-3104 -11255 5850; 2995 -2850 -276
-3943 -12046 4731; 2867 -3578 -513
-4442 -12139 2143; 2744 -4499 -850
-4534 -10861 -1083; 2660 -5297 -1367
-4456 -9401 -3859; 2845 -5786 -1741
-4126 -8452 -5452; 3094 -5824 -1834
-3800 -7814 -6107; 3150 -5589 -1884
-3589 -7056 -6332; 3262 -5355 -1984
-3420 -6444 -6294; 3742 -5270 -2051
-3379 -5756 -7019; 4062 -5462 -2144
-3516 -4797 -7911; 4099 -5754 -2266
-3365 -3857 -8843; 4283 -5839 -2220
-3091 -3634 -9018; 4335 -5540 -1966
-2924 -4115 -8402; 4336 -5068 -1638
-2974 -4273 -7669; 4336 -4748 -1472
-3116 -3955 -7805; 4377 -4763 -1473
-3191 -3937 -7923; 4376 -4861 -1506
-3152 -4139 -8098; 4079 -4875 -1515
-2922 -4166 -8929; 3993 -5034 -1518
-2618 -4261 -10305; 3878 -5303 -1520
-2217 -4195 -12664; 3532 -5517 -1575
-1745 -3527 -14422; 3327 -5247 -1672
-1490 -2768 -13685; 3200 -4363 -1739
-1341 -2302 -11095; 2923 -3360 -1778
-1095 -1782 -10018; 2436 -2930 -1808
-950 -1201 -10933; 2045 -3084 -1812
-591 -397 -11896; 1682 -3129 -1809
-340 448 -12534; 1201 -2817 -1793
-119 1754 -12442; 925 -2328 -1715
-22 2697 -11758; 810 -1780 -1516
69 2953 -10460; 660 -1215 -1218
137 2958 -9531; 674 -837 -895
-51 3102 -9448; 607 -685 -653
-309 3299 -9115; 580 -536 -559
8 3514 -9093; 299 -312 -586
-269 6829 -9518; 100 -61 -182
-705 4613 -9511; 251 333 1099
-1003 2200 -8710; 197 868 2071
-956 1009 -8005; 69 1358 2364
-1388 724 -7871; -269 1659 2327
-1807 162 -7132; -803 1921 2299
-2214 160 -6454; -1554 2116 2292
-2057 360 -5980; -2326 2085 2329
-2050 -751 -7059; -3094 1812 2598
-1871 -2209 -9212; -3458 1444 2991
-1645 -3531 -11859; -3640 1387 3393
-1671 -4072 -12087; -3342 1906 3999
-3115 -8532 -10372; -3205 2818 4620
-2392 -7116 -7739; -3531 3427 3814
-2086 -2670 -6539; -4276 3385 2552
-2172 -2185 -7343; -5281 2736 2590
-2013 -3989 -9573; -6073 2073 3223
-1906 -5238 -13006; -6483 1645 3667
-1981 -5027 -15474; -6246 1825 3917
-2497 -5365 -15176; -5630 2839 4312
-3556 -7162 -11847; -4858 4144 4853
-4166 -7990 -7897; -4684 5077 5039
-4557 -7367 -5027; -5021 5236 4767
-4753 -7468 -4375; -5626 4652 4510
-4539 -8017 -6340; -6178 3746 4420
-4597 -9111 -10158; -6144 2891 4535
-5299 -12502 -12116; -5748 2837 5020
-5627 -17111 -8121; -5332 4048 5434
-5244 -18446 -3206; -4892 5280 5138
-4664 -15862 -9; -4672 5582 4164
-4302 -12132 743; -4823 5238 3282
-4166 -10718 3435; -4756 4583 3113
-3867 -10745 2999; -4456 3381 3376
-3210 -12415 2117; -4105 2373 3582
-2134 -13216 3262; -4057 1986 3442
-579 -12532 3332; -3968 1607 2927
654 -11161 1141; -3534 931 2442
1620 -8371 -592; -2810 601 2021
2015 -7160 -822; -2169 914 1892
1861 -7482 263; -1600 1516 2070
1797 -6894 1606; -1177 1992 2052
1708 -6617 2639; -870 2236 1891
1570 -6354 3424; -569 2260 1771
1275 -6077 4089; -401 2117 1566
1505 -5573 5106; -451 1924 1263
1735 -5745 5684; -420 1476 1023
1990 -5839 4413; -348 662 781
2451 -5180 2298; -138 -150 449
2716 -4381 328; 114 -649 141
2892 -3336 -1120; 276 -819 -64
2941 -2416 -2008; 437 -744 -161
2919 -2175 -2293; 537 -501 -111
2791 -2354 -2013; 601 -196 4
2633 -2475 -1332; 644 65 71
2641 -2425 -727; 642 224 82
2601 -2800 -96; 605 299 120
2217 -2731 894; 445 309 142
1859 -2808 660; 56 101 53
2362 -1950 503; -6 -127 -23
2603 -1870 -798; 93 -416 29
2845 -2472 -1390; 507 -538 292
3150 -2610 -1833; 751 -496 407
3314 -2616 -1891; 860 -436 403
3453 -2965 -1740; 799 -351 394
4472 -2947 -1900; 734 -358 356
3654 -2701 -2419; 777 -402 323
3901 -2421 -2919; 811 -370 323
3955 -2355 -2407; 1329 -118 493
4128 -2906 -2639; 1661 77 758
4302 -2851 -2282; 1968 292 968
3983 -3424 -1023; 2519 636 1236
3892 -4074 436; 2962 849 1464
3833 -4740 1357; 3182 772 1591
4165 -5172 1439; 3363 452 1589
4714 -6845 495; 3487 36 1663
4993 -8143 -140; 3775 -270 1723
5448 -9135 -968; 4400 -391 1531
5332 -9880 -848; 5319 -458 1170
5186 -10397 -590; 5695 -235 695
5409 -9995 47; 5965 228 169
4619 -9185 2099; 6835 547 -149
4677 -10303 2038; 7098 605 -161
3434 -12694 3063; 7679 650 -80
2646 -14237 2771; 8852 535 -408
1470 -14162 1501; 7622 342 -1578
724 -10944 2148; 7014 555 -3194
141 -7546 2597; 6673 622 -4323
-114 -4455 2364; 6237 426 -4761
60 -2527 1879; 5642 166 -4636
216 -1847 1563; 5134 -33 -4030
461 -1986 1573; 5012 -230 -3254
553 -2642 1495; 4941 -471 -2581
690 -3260 962; 4647 -855 -2154
780 -3294 43; 4152 -1330 -2029
671 -2669 -928; 3519 -1840 -2152
721 -1885 -3126; 2514 -2367 -2436
705 -209 -4124; 1913 -2614 -2768
601 937 -5113; 1514 -2609 -2961
661 1920 -6118; 1139 -2436 -3071
605 2972 -6690; 957 -1869 -3169
579 3842 -5838; 814 -826 -3230
1577 4851 -3755; 690 361 -3128
850 6361 -1822; 450 1172 -2508
916 5231 -600; 161 1419 -1437
986 3750 220; 142 1277 -646
1243 2736 793; 316 857 -256
1382 2381 38; 449 252 -163
1536 2250 -622; 646 -75 -140
1605 2054 -325; 669 10 -87
1706 1995 584; 556 239 -60
1549 2037 1290; 446 321 -51
1603 2234 1625; 483 236 -57
1692 2493 1570; 488 98 -29
1781 2320 1496; 525 11 113
2061 1938 1482; 580 -32 328
2175 1634 1254; 699 -67 523
2386 1755 826; 800 -93 640
2679 1804 782; 872 19 817
2649 717 1215; 1001 229 1096
2785 -365 1671; 1075 365 1162
2757 -484 2210; 926 374 812
2938 379 2215; 587 252 257
3108 1354 2058; 298 73 -114
3195 1716 1734; 120 -63 -150
3210 1625 1403; 10 -109 -14
3256 1364 1147; -44 -48 112
3317 1311 1146; -22 105 189
3282 1082 1334; 70 306 260
3227 1017 1726; 195 493 325
3206 1011 2167; 288 613 356
3082 1080 2558; 265 648 351
3034 1100 2809; 76 583 327
2998 971 2592; -144 415 313
2934 991 2221; -327 255 281
2818 995 1910; -514 202 244
2688 740 1579; -607 239 268
2356 445 1170; -546 329 317
1901 192 767; -465 495 347
1186 -2 759; -443 791 357
170 1 1403; -499 1229 341
-1132 216 2533; -631 1709 336
-2855 660 3248; -1029 2096 378
-4896 1006 3244; -1347 2337 600
-7565 544 3113; -1625 2621 1212
-9694 -1459 4628; -2253 3259 2141
-11243 -3797 7548; -3069 4216 3116
-12539 -4749 14335; -2792 4909 3839
-13328 -5534 19983; -1988 4431 3962
-14388 -6510 20992; -2561 2277 3260
-14266 -1750 18612; -1331 -902 1744
-14426 3063 12176; 583 -4183 923
-14132 2276 7592; 1781 -6254 1597
-13259 1447 4365; 2587 -7053 2963
-11834 -1290 1189; 2994 -7641 4908
-9861 -3141 -927; 3726 -8257 7182
-10163 -11935 -2380; 4263 -8618 9594
-6510 -15664 -3400; 4564 -8588 9631
-3327 -14268 -5505; 3879 -8550 7900
-1129 -12928 -7064; 2966 -8519 6550
244 -12593 -7615; 2478 -8184 5829
983 -11382 -6644; 1813 -7335 5155
2415 -9104 -5412; 1139 -6599 4450
2200 -9448 -6994; 538 -6587 4264
2740 -12555 -9581; 407 -6935 4561
2848 -15015 -12080; 690 -7087 4558
3359 -15301 -13047; 769 -6412 3922
3623 -14593 -8886; 445 -4648 2936
3339 -14152 -4078; -50 -3110 2041
2622 -14112 -1132; -456 -2777 1261
1632 -13871 -578; -889 -3390 363
623 -11532 -2115; -1267 -4648 -815
509 -8083 -6577; -1298 -5988 -1994
475 -4813 -10651; -571 -6969 -2613
1655 -1871 -14303; 668 -7057 -2499
2666 -1616 -12149; 897 -2911 -907
1989 -2364 -5978; 906 -607 -213
2151 -2917 -3535; 722 126 49
1769 -2306 -2042; 769 -256 119
1894 -2085 -2830; 483 -1109 115
2195 -2191 -4494; 167 -1957 176
2132 -2982 -6923; -434 -2350 253
2063 -3347 -7968; -611 -2153 265
2124 -2979 -7578; -871 -1287 97
1752 -2367 -4821; -1164 -104 -80
1329 -2012 -2255; -1482 785 -138
1025 -1917 -659; -1845 1207 -68
957 -1933 421; -2334 1260 9
907 -1544 2203; -2655 890 102
664 -1584 1559; -3050 36 260
569 -1927 442; -3597 -766 465
471 -2240 -579; -4086 -1232 566
538 -2425 -1773; -4863 -1482 480
342 -2279 -3292; -5563 -1676 251
184 -1586 -4526; -5772 -1882 -85
15 -178 -6449; -5542 -2066 -474
-1307 1712 -7720; -4242 -2029 -889
-1924 2862 -6732; -2423 -1541 -1373
-2190 5082 -5092; -1794 -761 -1713
-3484 7270 -3183; -3844 -183 -1012
-4275 6383 -3559; -6780 -293 333
-4994 5229 -5575; -8046 -1066 1370
-5221 5540 -9226; -7213 -2048 1683
-5616 7969 -11364; -5016 -2631 1468
-6323 10893 -12801; -3721 -2329 1465
-7023 13152 -12354; -3603 -1297 2245
-8121 11833 -11316; -3469 -361 3985
-9442 8099 -10773; -2708 1 5989
-10101 5335 -10722; -1696 122 7334
-10882 3364 -9960; -523 402 8130
-11420 624 -8114; 744 757 8768
-10856 -2652 -7344; 390 961 9266
-10055 -3195 -8994; -1530 849 9520
-9553 -6935 -10639; -2775 763 9729
-7971 -8519 -9969; -2433 1249 8678
-6609 -4432 -8063; -2282 2073 6869
-6608 -1950 -6614; -2577 2531 6235
-7502 -3405 -6221; -2799 2361 6883
-7866 -8038 -7517; -3629 2043 7725
-7750 -11718 -7167; -4037 2030 8047
-6812 -15808 -5445; -3577 2319 7895
-5403 -20119 -3554; -2802 2441 7501
-3489 -20846 -1869; -1874 2182 6245
-1679 -16210 -913; -1722 1758 4131
-39 -10608 -2483; -2142 1163 2441
676 -8372 -3315; -2497 782 2128
901 -9244 -3165; -2520 884 2552
858 -10296 -2341; -2395 1141 2859
974 -9869 -1737; -2198 1295 2655
1143 -8885 -1127; -1630 1242 2255
1192 -7949 -948; -992 1005 1910
1615 -7172 -1755; -575 643 1626
1899 -6144 -3331; -214 189 1382
2255 -5013 -4683; 91 22 1122
2366 -3948 -4423; 262 340 896
2233 -2960 -2795; 509 846 737
2170 -2705 -1508; 526 1139 670
1838 -2969 -675; 599 1116 729
1785 -3158 -380; 738 908 725
2034 -2700 -691; 562 515 592
2208 -2300 -1993; 317 3 462
2526 -2042 -3367; 30 -302 381
2748 -1697 -4064; -120 -282 329
2806 -1052 -4004; 148 -59 302
2746 -583 -3311; 408 214 331
2587 -705 -2855; 473 366 467
2374 -982 -2714; 426 369 589
2290 -1116 -2674; 209 343 629
2255 -1159 -2725; -9 289 642
2260 -1374 -2710; -45 206 680
2381 -1482 -3100; -121 105 692
2540 -1328 -3584; -103 19 652
2679 -984 -3932; 2 36 623
2692 -741 -3808; 240 158 633
2630 -769 -3582; 331 298 696
2432 -858 -3085; 417 399 764
2173 -1052 -2409; 191 474 772
1991 -1238 -1991; -418 477 708
1848 -1583 -1957; -986 342 632
1730 -1697 -2066; -1609 214 519
1565 -1542 -1755; -2143 151 358
1809 -1241 -1649; -2607 76 194
1475 -1099 -1402; -3189 -4 85
1807 -987 -1626; -4139 -48 -39
1627 -1572 -1547; -5133 -85 -86
1428 -2113 -1307; -5907 -47 -199
1429 -2652 -1252; -6950 34 -511
1525 -2562 -1175; -7589 109 -932
2091 -2188 -1504; -7592 23 -1369
3027 -1951 -2718; -7003 -361 -1623
3958 -1583 -4098; -6035 -827 -1641
5488 -2209 -6309; -5619 -1369 -1533
6062 -2749 -10099; -5771 -2164 -1519
7853 -1753 -16989; -6502 -2461 -1817
10264 2006 -22962; -6727 -1545 -2255
10833 6213 -24092; -5240 513 -2548
9996 7115 -20257; -3282 3315 -2700
10433 16031 -16703; -2350 5604 -2790
9467 18683 -10093; -2223 7101 -1370
7452 19001 -6232; -1895 7158 153
6036 19968 -5913; -1684 6220 1100
4107 19758 -6452; -1566 5336 2067
1867 16413 -6203; -1022 4902 3495
-533 11757 -5299; -422 4820 4876
-1914 8401 -3724; -86 4941 5446
-2876 6800 -2224; 89 5071 5385
-3615 6290 -635; 69 5127 5049
